抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期
2026-08-04,影視金曲榜,1,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18
2026-08-04,影視金曲榜,2,过海,王赫野/黄龄,过海,2026-07-16
2026-08-04,影視金曲榜,3,缠,那英,这一秒过火 影视原声带,2026-07-18
2026-08-04,影視金曲榜,4,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18
2026-08-04,影視金曲榜,5,贴心,梁咏琪,这一秒过火 影视原声带,2026-07-18
2026-08-04,影視金曲榜,6,Metal Flower,R.E.D,Metal Flower,2026-07-11
2026-08-04,影視金曲榜,7,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28
2026-08-04,影視金曲榜,8,人间,刘宇宁,南部档案 影视原声带,2026-06-11
2026-08-04,影視金曲榜,9,满纸,阿鲲,春山境 电视剧原声专辑,2026-06-14
2026-08-04,影視金曲榜,10,如果宇宙有答案,黄子弘凡,如果宇宙有答案,2026-07-25
2026-08-04,影視金曲榜,11,Stay With Me,DK,오싹한 연애 OST Part 2,2026-07-26
2026-08-04,影視金曲榜,12,浮生若梦,周深,云秀行 影视原声带,2026-06-23
2026-08-04,影視金曲榜,13,千香,周深,千香 影视剧原声音乐专辑,2026-07-15
2026-08-04,影視金曲榜,14,何故,刘宇宁,云秀行 影视原声带,2026-06-23
2026-08-04,影視金曲榜,15,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew You",2026-06-05
2026-08-04,影視金曲榜,16,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15
2026-08-04,影視金曲榜,17,我在意的,单依纯,爱情有烟火 影视原声带,2026-07-03
2026-08-04,影視金曲榜,18,破晓以后,胡彦斌,破晓以后,2026-07-27
2026-08-04,影視金曲榜,19,怜心,黄霄雲,雀骨 影视原声带,2026-07-15
2026-08-04,影視金曲榜,20,一诺成川,侯明昊,雀骨 影视原声带,2026-07-15
2026-08-04,影視金曲榜,21,Blind Spot,토모/원식 (WONSIK),검사실의 제안 OST Part.2,2026-06-26
2026-08-04,影視金曲榜,22,All For You,Eric周兴哲,All For You,2026-07-16
2026-08-04,影視金曲榜,23,赤子,周深,问心2 原声OST大碟,2026-06-20
2026-08-04,影視金曲榜,24,想你了,刘瑞琦,想你了 电影原声专辑,2026-07-24
2026-08-04,影視金曲榜,25,知我,刘雨昕,雀骨 影视原声带,2026-07-15
2026-08-04,影視金曲榜,26,蚱蜢跃入星空,王源,蚱蜢跃入星空,2026-06-19
2026-08-04,影視金曲榜,27,不倒翁,弦子,想你了 电影原声专辑,2026-07-24
2026-08-04,影視金曲榜,28,渡,周深,渡,2026-06-09
2026-08-04,影視金曲榜,29,别忘了,岑宁儿,想你了 电影原声专辑,2026-07-24
2026-08-04,影視金曲榜,30,倒悬之河,徐均朔/阿YueYue,百花杀 原声音乐专辑,2026-07-28
2026-08-04,影視金曲榜,31,因果,段奥娟,雀骨 影视原声带,2026-07-15
2026-08-04,影視金曲榜,32,执棋,张靓颖,翘楚 电视剧影视原声带,2026-06-08
2026-08-04,影視金曲榜,33,Marionette,제나 (ZENA),검사실의 제안 OST Part.1,2026-06-19
2026-08-04,影視金曲榜,34,时差,Jeffrey董又霖,耀眼 影视原声带,2026-06-02
2026-08-04,影視金曲榜,35,未烬之火,沙宝亮,这一秒过火 影视原声带,2026-07-18
2026-08-04,影視金曲榜,36,Tiger in my love,奥利,Tiger in my love,2026-06-26
2026-08-04,影視金曲榜,37,袖里长风,张远,百花杀 原声音乐专辑,2026-07-28
