抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-03,抖音熱歌榜,1,心之火,张鑫,心之火,2024-07-18,-,-,華語
2026-08-03,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,-,-,華語
2026-08-03,抖音熱歌榜,3,恋人,李荣浩,黑马,2024-10-18,-,-,華語
2026-08-03,抖音熱歌榜,4,总有一天你会出现在我身边,棱镜乐队,一次有预谋的初次相遇,2018-10-06,-,-,華語
2026-08-03,抖音熱歌榜,5,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,-,-,韓語
2026-08-03,抖音熱歌榜,6,Always Online,林俊杰,JJ陆,2008-10-18,-,-,華語
2026-08-03,抖音熱歌榜,7,红尘客栈,周杰伦,十二新作,2012-12-28,-,-,華語
2026-08-03,抖音熱歌榜,8,阴天,莫文蔚,You Can,1999-04-20,-,-,華語
2026-08-03,抖音熱歌榜,9,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,-,-,華語
2026-08-03,抖音熱歌榜,10,我怀念的,孙燕姿,逆光,2007-03-22,-,-,華語
2026-08-03,抖音熱歌榜,11,无人之岛,任然,没有发生的爱情,2017-08-31,-,-,華語
2026-08-03,抖音熱歌榜,12,盛夏的果实,莫文蔚,NO.1新曲精选全记录20首,2000-06-01,-,-,華語
2026-08-03,抖音熱歌榜,13,唯一,G.E.M. 邓紫棋,T.I.M.E.,2023-11-26,-,-,華語
2026-08-03,抖音熱歌榜,14,雨爱,杨丞琳,雨爱,2010-01-01,-,-,華語
2026-08-03,抖音熱歌榜,15,搁浅,周杰伦,七里香,2004-08-03,-,-,華語
2026-08-03,抖音熱歌榜,16,夜曲,周杰伦,十一月的萧邦,2005-11-01,-,-,華語
2026-08-03,抖音熱歌榜,17,演员,薛之谦,绅士,2015-06-05,-,-,華語
2026-08-03,抖音熱歌榜,18,偏爱,张芸京,破天荒,2009-06-03,-,-,華語
2026-08-03,抖音熱歌榜,19,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,-,-,華語
2026-08-03,抖音熱歌榜,20,小半,陈粒,小梦大半,2016-07-26,-,-,華語
2026-08-03,抖音熱歌榜,21,发如雪,周杰伦,十一月的萧邦,2005-11-01,-,-,華語
2026-08-03,抖音熱歌榜,22,多远都要在一起,G.E.M. 邓紫棋,新的心跳,2015-11-06,-,-,華語
2026-08-03,抖音熱歌榜,23,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,-,-,華語
2026-08-03,抖音熱歌榜,24,富士山下,陈奕迅,What's Going On...?,2006-11-23,-,-,華語
2026-08-03,抖音熱歌榜,25,开始懂了,孙燕姿,我要的幸福,2000-12-09,-,-,華語
