抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-13,綜藝新歌榜,1,锈,黄霄雲/TF_ING张子墨,天赐的声音第七季 第8期,2026-07-31,PCbm4Vt6Dh4,"179,663",華語
2026-08-13,綜藝新歌榜,2,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,zlAjS20q9pE,"1,055,743",華語
2026-08-13,綜藝新歌榜,3,The Gentlemen (绅士们),弹壳/Vinz-T,说唱巅峰对决2026 第6期,2026-08-01,fUxHPVv5dmw,"287,453",華語
2026-08-13,綜藝新歌榜,4,一点一滴,张信哲/黄子弘凡,天赐的声音第七季 第8期,2026-07-31,4DGi4BD5ccc,"41,032",華語
2026-08-13,綜藝新歌榜,5,别怕我伤心,张远,歌手2026 第11期,2026-08-01,CenC5jcnvjs,"444,676",華語
2026-08-13,綜藝新歌榜,6,野心家,杨丞琳/黄霄雲,天赐的声音第七季 第7期,2026-07-24,MJZc-Dg5WeQ,"1,615,904",華語
2026-08-13,綜藝新歌榜,7,誓言,窦靖童,歌手2026 第11期,2026-08-01,f1g4SEI6akc,"406,493",華語
2026-08-13,綜藝新歌榜,8,二十二,宋亚轩,国乐无双 第10期,2026-08-01,ZTR3tg6GirY,"55,356",華語
2026-08-13,綜藝新歌榜,9,第三人称,杨丞琳/王栎鑫,天赐的声音第七季 第8期,2026-07-31,RJaoLKOzn0o,"44,174",華語
2026-08-13,綜藝新歌榜,10,trust me,姚晓棠/Top Barry,天赐的声音第七季 第8期,2026-07-31,aE9h04yMqBw,"139,707",華語
2026-08-13,綜藝新歌榜,11,开始懂了,陈小春,国乐无双 第10期,2026-08-01,p20EtodL7Ug,"193,573",華語
2026-08-13,綜藝新歌榜,12,如果你也这样过,尤长靖,歌手2026 第11期,2026-08-01,EEQR8pYtUkQ,"494,104",華語
2026-08-13,綜藝新歌榜,13,野草,金志文,国乐无双 第10期,2026-08-01,Fa2ZJ7u4Zrk,"12,854",華語
2026-08-13,綜藝新歌榜,14,小半,王铮亮/谭松韵,天赐的声音第七季 第2期,2026-06-19,AJSvQ8HOzGY,"979,911",華語
2026-08-13,綜藝新歌榜,15,迷人的危险,Ghost (王琳凯)/姚晓棠,音你而来3 第9期,2026-06-05,K5t-1v-IZ9k,"613,276",華語
2026-08-13,綜藝新歌榜,16,我不难过,刘雨昕/欧阳娜娜,天赐的声音第七季 第6期,2026-07-17,y_sILJY8wus,"322,208",華語
2026-08-13,綜藝新歌榜,17,借过一下,陈小春,国乐无双 第3期,2026-06-06,RTXUDa2f48w,"2,063,074",華語
2026-08-13,綜藝新歌榜,18,月光与吻痕,杨宗纬/欢子/喻言,天赐的声音第七季 第7期,2026-07-24,N5COHYSS51o,"55,141",華語
2026-08-13,綜藝新歌榜,19,问爱,Yamy郭颖,说唱巅峰对决2026 第4期,2026-07-18,8tqVS2VpzEI,"207,303",華語
2026-08-13,綜藝新歌榜,20,街角的晚风,曾舜晞/姚晓棠,天赐的声音第七季 第1期,2026-06-12,bLvvnIB9MCY,"861,394",華語
2026-08-13,綜藝新歌榜,21,苹果香,乌兰图雅/白小白,天赐的声音第七季 第8期,2026-07-31,RlLsRgd9Hu8,"6,045",華語
