抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-15,影視金曲榜,1,过海,王赫野/黄龄,过海,2026-07-16,IgjnQV8WJH8,"6,104",華語
2026-08-15,影視金曲榜,2,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"126,495",華語
2026-08-15,影視金曲榜,3,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"32,039",華語
2026-08-15,影視金曲榜,4,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,hgY4ftt3gvk,"3,166",華語
2026-08-15,影視金曲榜,5,来我的岛,刘宇宁,来我的岛,2026-08-03,udTSazfAfEo,"51,905",華語
2026-08-15,影視金曲榜,6,野草（致老狗）,曾舜晞,野草（致老狗）,2026-08-05,Zc8PeZe5Ecc,"1,703",未知
2026-08-15,影視金曲榜,7,一诺,刘宇宁,一诺,2026-08-05,JGGL56GMMsM,"85,513",華語
2026-08-15,影視金曲榜,8,无归,李佳薇,无归,2026-08-06,CgJx9C-9xGs,"3,843",華語
2026-08-15,影視金曲榜,9,听无声处,周深,九门 影视原声带,2026-08-10,4Csp1xRwxA8,"73,472",華語
2026-08-15,影視金曲榜,10,耀眼的我们,周深,天才，女友 影视原声带,2026-08-04,prjFbOzBVWU,"32,374",華語
2026-08-15,影視金曲榜,11,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28,h3596Dg4HT8,"247,995",華語
2026-08-15,影視金曲榜,12,浮生若梦,周深,云秀行 影视原声带,2026-06-23,IJ8kHZZD8O0,"185,435",華語
2026-08-15,影視金曲榜,13,云中鸟,小阿七,云中鸟,2026-08-07,xBOmrRTzi9M,"5,016",華語
2026-08-15,影視金曲榜,14,落下的光,袁娅维TIA RAY,落下的光,2026-08-04,tqgSk5PMXwA,895,華語
2026-08-15,影視金曲榜,15,缠,那英,这一秒过火 影视原声带,2026-07-18,_AitteIOuMc,"88,199",華語
2026-08-15,影視金曲榜,16,黑童话,黄龄,人鱼 影视原声专辑,2026-08-04,a24jmkT9vnE,"8,951",華語
2026-08-15,影視金曲榜,17,"I Knew It, I Knew You",Taylor Swift,"I Knew It, I Knew You",2026-06-05,hDU4GB1PTxc,"22,173,418",西洋
2026-08-15,影視金曲榜,18,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15,83RQld52drA,"184,125",華語
2026-08-15,影視金曲榜,19,我在意的,单依纯,爱情有烟火 影视原声带,2026-07-03,GKHSYBHak4U,"45,736",華語
2026-08-15,影視金曲榜,20,满纸,阿鲲,春山境 电视剧原声专辑,2026-06-14,dqqehb_gEz0,"139,981",華語
