抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-15,新歌榜,1,贰拾肆,梓渝,梓渝,2026-08-05,zeGLBhDbwt0,"33,312"
2026-08-15,新歌榜,2,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,UsbRoaH6y-Q,"3,474,293"
2026-08-15,新歌榜,3,STRANGE,刘雨昕,STRANGE,2026-08-05,J88kOcG7hmc,"1,340"
2026-08-15,新歌榜,4,山风山风等等我,万海东,山风山风等等我,2026-07-20,dvphcY1G6Ng,"8,753"
2026-08-15,新歌榜,5,Crossfire,张艺兴,Crossfire,2026-08-14,3ZbdF6mRmHY,0
2026-08-15,新歌榜,6,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,AH2ibOsKgzs,"64,675"
2026-08-15,新歌榜,7,神山GUOFENG,FOX胡天渝,Oriental Esthetics神降,2026-08-03,tzU-MvVXpoA,95
2026-08-15,新歌榜,8,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,hGqYdubpcCM,"23,637,920"
2026-08-15,新歌榜,9,最完美的存在,刘芯妤Roselyn,最完美的存在,2026-08-07,-4a45QUT-J0,"84,059"
2026-08-15,新歌榜,10,过海,王赫野/黄龄,过海,2026-07-16,IgjnQV8WJH8,"6,104"
2026-08-15,新歌榜,11,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"126,495"
2026-08-15,新歌榜,12,游向陆地的鱼,梓渝,梓渝,2026-08-05,R-FdIwzlC_s,"44,027"
2026-08-15,新歌榜,13,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,-,-
2026-08-15,新歌榜,14,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,p-LnAnYPo4I,"15,346"
2026-08-15,新歌榜,15,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"32,039"
2026-08-15,新歌榜,16,傻鱼,王栎鑫,傻鱼,2026-08-11,H2KEtWOqVJA,786
2026-08-15,新歌榜,17,KISS N TELL,aespa,KISS N TELL,2026-07-23,inxzQt78lOk,"8,379,024"
2026-08-15,新歌榜,18,媚人,薛之谦,媚人,2026-07-17,cxm8b1gOeqk,"236,467"
2026-08-15,新歌榜,19,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,hgY4ftt3gvk,"3,166"
2026-08-15,新歌榜,20,只要你在身边,沈梦瑶/喵战队,无界,2026-05-02,-,-
2026-08-15,新歌榜,21,爱久见人心,赵乃吉,爱久见人心,2026-08-02,1TJ4DXlfcTc,"9,840"
2026-08-15,新歌榜,22,清风微微,曾舜晞,清风微微,2026-07-24,HCv4EH5plpA,"29,773"
2026-08-15,新歌榜,23,讨厌情歌,张艺兴,斗战胜佛,2026-07-03,Lxw5wGrpcYU,"32,131"
2026-08-15,新歌榜,24,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,-,-
2026-08-15,新歌榜,25,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,k7SDstVAD78,"1,534,980"
2026-08-15,新歌榜,26,山风山风等等我,七喜,山风山风等等我,2026-07-31,xPaUYFhp_3w,119
2026-08-15,新歌榜,27,Bleeding Love -氛围节奏,Grimmmz/Sixteen/DJYmix,Bleeding Love -氛围节奏,2026-08-06,-,-
2026-08-15,新歌榜,28,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,h7ITAdTxdxM,"3,350,739"
2026-08-15,新歌榜,29,Broken Trust,卓沅,Broken Trust,2026-08-12,XdpswnFz0l8,31
2026-08-15,新歌榜,30,WET,J.Y. Park,WET,2026-07-23,dMf6YlGsv0U,"1,931,201"
2026-08-15,新歌榜,31,左转灯 (1000 Times+1),派伟俊/mac ova seas,BAD IDEA,2026-07-31,kUZZIBciO6A,"11,577,089"
2026-08-15,新歌榜,32,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27,1x0vBteO4jc,"38,620"
2026-08-15,新歌榜,33,Animal,KATSEYE,Animal,2026-07-27,m7k9UMcHbr0,"50,825,314"
2026-08-15,新歌榜,34,Ever2Late!,KiiiKiii,WhyKiiiKiii,2026-08-10,vP6NceIuVkM,"211,562"
2026-08-15,新歌榜,35,回到小村落 (听着蛐蛐唱着歌),宋盐球,回到小村落（听着蛐蛐唱着歌）,2026-07-21,swObZJl0D-Y,"4,858"
2026-08-15,新歌榜,36,自由的夜,薛凯琪,Every Piece of Me,2026-08-11,fcFc2yjBAVw,735
2026-08-15,新歌榜,37,No More Tomorrow,严浩翔,No More Tomorrow,2026-08-03,Ls6y4JbkNa0,"8,042"
2026-08-15,新歌榜,38,杀破狼,萧泽,杀破狼,2026-08-13,Dgq9BadXDhw,917
2026-08-15,新歌榜,39,ICONIC HEART,Hearts2Hearts,ICONIC HEART,2026-08-09,chl0R8C4NJ8,"3,042,361"
2026-08-15,新歌榜,40,无名氏,张真源,无名氏,2026-08-04,6lRRgMEqb2g,"42,275"
2026-08-15,新歌榜,41,夏天如约而来 (Summer Sparkle),银河快递 (Galaxy Express),夏天如约而来 (Summer Sparkle) (《全职高手》黄少天官方生贺主题曲),2026-08-10,G0fkTpaWv28,113
2026-08-15,新歌榜,42,SWEET SOUR,KiiiKiii,WhyKiiiKiii,2026-08-10,NBIu5QpD3X8,"200,005"
2026-08-15,新歌榜,43,如果你也刚好抬头看树,孙天宇,如果你也刚好抬头看树,2026-07-20,9HWZgQTXRW0,"26,191"
2026-08-15,新歌榜,44,每个人,周深,每个人 (舒楠监制 官方正式版),2026-08-07,hMRKkipmWT0,"79,771"
2026-08-15,新歌榜,45,「最好的地方Ⅱ」演唱会主题曲,王力宏,「最好的地方Ⅱ」演唱会主题曲,2026-08-13,-,-
2026-08-15,新歌榜,46,Lollipop (GISELLE & NINGNING),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,isqsKaUoMFA,"768,308"
2026-08-15,新歌榜,47,水为媒,礼越,水为媒,2026-07-24,6fiETnMALLk,"3,040"
2026-08-15,新歌榜,48,也许你就在对岸,张杰,也许你就在对岸,2026-07-30,YPy4E04LErU,"8,687"
2026-08-15,新歌榜,49,你爱我像谁,橘子妹,你爱我像谁,2026-08-06,-,-
2026-08-15,新歌榜,50,Lucky Light（幸运之光）,赵希予,Lucky Light（幸运之光）,2026-07-16,-,-
2026-08-15,新歌榜,51,DON'T STOP,刘耀文,DON'T STOP,2026-08-05,BVRouFkXMY4,"1,196"
2026-08-15,新歌榜,52,在深秋,白允y,在深秋（她一定比我成熟）,2026-08-04,-,-
2026-08-15,新歌榜,53,异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,异常加载中,2026-08-02,1265qQnOhfo,"16,369"
2026-08-15,新歌榜,54,Candy Pink Magic Hole Flip Phone (나 어떡해),KiiiKiii,WhyKiiiKiii,2026-08-10,R9miRFaYbWo,"1,619,377"
2026-08-15,新歌榜,55,你我他,en (王翊恩),你我他,2026-07-31,GzkHT-k-Ors,"476,417"
2026-08-15,新歌榜,56,如约,周深,如约,2026-07-26,CU60L5ck_Vo,"210,888"
2026-08-15,新歌榜,57,petal,Ariana Grande,petal (Explicit),2026-07-31,afSgBNwmZrQ,"22,938,802"
2026-08-15,新歌榜,58,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,-Hl1gke4U48,"1,153"
2026-08-15,新歌榜,59,Hey Hi,KiiiKiii,WhyKiiiKiii,2026-08-10,TUU00zw6cgM,"338,358"
2026-08-15,新歌榜,60,FLIRTY,다영 (DAYOUNG)/朴宰范,FLIRTY,2026-08-04,M0v-AeoIsTU,"1,130,688"
2026-08-15,新歌榜,61,第57次取消发送,羊羊,第57次取消发送,2026-08-07,yyMuPEZ0-eQ,"7,203"
2026-08-15,新歌榜,62,竞速游戏,TOP登陆少年组合,竞速游戏,2026-07-25,H7SSEIodiE4,"23,333"
2026-08-15,新歌榜,63,吹吹山顶的风,杨小壮,吹吹山顶的风,2026-08-05,relM8XBrdpM,"2,485"
2026-08-15,新歌榜,64,爱你太多,刘一手,爱你太多,2026-07-29,3XnCatRiT4o,531
2026-08-15,新歌榜,65,Pretty Much（半夏心动）,赵希予,Pretty Much（半夏心动）,2026-07-17,-,-
2026-08-15,新歌榜,66,见怪不怪,金志文,见怪不怪,2026-08-11,6KiKPq4xX4o,835
2026-08-15,新歌榜,67,Little Songs(无人知晓的小歌),七元,Little Songs(无人知晓的小歌),2026-08-07,-,-
