抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-17,綜藝新歌榜,1,花田错,万妮达Vinida Weng/吴碧霞,歌手2026 第12期,2026-08-08,Hnij47XWTeo,"45,158"
2026-08-17,綜藝新歌榜,2,我们的纪念,杨丞琳/侯明昊,天赐的声音第七季 第9期,2026-08-07,qkKFbP0ZMLU,"260,097"
2026-08-17,綜藝新歌榜,3,答案,王铮亮/黄霄雲,天赐的声音第七季 第9期,2026-08-07,htjPa9QhaY8,"105,929"
2026-08-17,綜藝新歌榜,4,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,zlAjS20q9pE,"1,162,642"
2026-08-17,綜藝新歌榜,5,交个朋友,弹壳,说唱巅峰对决2026 第7期,2026-08-08,KdiYwBvQVnY,"133,031"
2026-08-17,綜藝新歌榜,6,再见,万妮达Vinida Weng,歌手2026 第12期,2026-08-08,q-IowIzrMLY,"63,394"
2026-08-17,綜藝新歌榜,7,相思,齐豫/毛阿敏,歌手2026 第12期,2026-08-08,ERUH2ClGmpg,"436,446"
2026-08-17,綜藝新歌榜,8,锈,黄霄雲/TF_ING张子墨,天赐的声音第七季 第8期,2026-07-31,PCbm4Vt6Dh4,"213,401"
2026-08-17,綜藝新歌榜,9,被驯服的象,窦靖童/欧阳娜娜,歌手2026 第12期,2026-08-08,m1DRtCeQHAc,"51,571"
2026-08-17,綜藝新歌榜,10,无所求必满载而归,张远,歌手2026 第12期,2026-08-08,ucurpb94Xc8,"11,004"
2026-08-17,綜藝新歌榜,11,娱乐天空,宋亚轩,国乐无双 第11期,2026-08-08,vFvH7kQiFyA,"8,887"
2026-08-17,綜藝新歌榜,12,The Gentlemen (绅士们),弹壳/Vinz-T,说唱巅峰对决2026 第6期,2026-08-01,fUxHPVv5dmw,"327,429"
2026-08-17,綜藝新歌榜,13,野草,金志文,国乐无双 第10期,2026-08-01,Fa2ZJ7u4Zrk,"16,012"
2026-08-17,綜藝新歌榜,14,笼,吉克隽逸/黄子弘凡,天赐的声音第七季 第9期,2026-08-07,aVpfFCgKdNw,"56,938"
2026-08-17,綜藝新歌榜,15,遗失的心跳,周笔畅/喻言,天赐的声音第七季 第9期,2026-08-07,ZZudhk8lcC4,"18,550"
2026-08-17,綜藝新歌榜,16,欢喜就好,杨宗纬/岳云鹏,天赐的声音第七季 第9期,2026-08-07,xFylv8r_KPI,"164,313"
2026-08-17,綜藝新歌榜,17,开始懂了,陈小春,国乐无双 第10期,2026-08-01,p20EtodL7Ug,"223,971"
2026-08-17,綜藝新歌榜,18,一点一滴,张信哲/黄子弘凡,天赐的声音第七季 第8期,2026-07-31,4DGi4BD5ccc,"46,998"
