抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率,語言
2026-08-18,新歌榜,1,RUN IT,梓渝,梓渝,2026-08-05,ovZ4T3Hv7RQ,"27,447",華語
2026-08-18,新歌榜,2,山风山风等等我,万海东,山风山风等等我,2026-07-20,dvphcY1G6Ng,"10,938",華語
2026-08-18,新歌榜,3,贰拾肆,梓渝,梓渝,2026-08-05,zeGLBhDbwt0,"50,012",華語
2026-08-18,新歌榜,4,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,UsbRoaH6y-Q,"4,145,514",華語
2026-08-18,新歌榜,5,Crossfire,张艺兴,Crossfire,2026-08-14,3ZbdF6mRmHY,941,西洋
2026-08-18,新歌榜,6,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,JqR0_IFpdcg,"134,003",華語
2026-08-18,新歌榜,7,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,hGqYdubpcCM,"24,224,667",韓語
2026-08-18,新歌榜,8,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,-iv04Ej2qac,17,華語
2026-08-18,新歌榜,9,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,AH2ibOsKgzs,"82,338",華語
2026-08-18,新歌榜,10,游向陆地的鱼,梓渝,梓渝,2026-08-05,R-FdIwzlC_s,"50,708",華語
2026-08-18,新歌榜,11,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,uEdEBhcf4Gs,"38,958",華語
2026-08-18,新歌榜,12,无情的情书,半吨兄弟,无情的情书,2026-08-15,-,-,華語
2026-08-18,新歌榜,13,爱久见人心,赵乃吉,爱久见人心,2026-08-02,1TJ4DXlfcTc,"13,587",華語
2026-08-18,新歌榜,14,神山GUOFENG,FOX胡天渝,Oriental Esthetics神降,2026-08-03,tzU-MvVXpoA,113,華語
2026-08-18,新歌榜,15,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,hgY4ftt3gvk,"33,451",華語
2026-08-18,新歌榜,16,KISS N TELL,aespa,KISS N TELL,2026-07-23,inxzQt78lOk,"9,553,470",韓語
2026-08-18,新歌榜,17,取愿,李星星,《财神窦占龙》 动画原声带,2026-08-11,bLOYvcyVtyw,203,華語
2026-08-18,新歌榜,18,云中鸟,小阿七,云中鸟,2026-08-07,xBOmrRTzi9M,"9,292",華語
2026-08-18,新歌榜,19,Setsuna Hanabi,TOMORROW X TOGETHER,Setsuna Hanabi,2026-08-16,Z5pGz8fkaDQ,"490,093",日語
2026-08-18,新歌榜,20,最完美的存在,刘芯妤Roselyn,最完美的存在,2026-08-07,-4a45QUT-J0,"95,556",華語
2026-08-18,新歌榜,21,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,k7SDstVAD78,"1,684,583",西洋
2026-08-18,新歌榜,22,杀破狼,萧泽,杀破狼,2026-08-13,Dgq9BadXDhw,"13,695",華語
2026-08-18,新歌榜,23,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,h7ITAdTxdxM,"3,632,211",西洋
2026-08-18,新歌榜,24,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,-Hl1gke4U48,"1,240",華語
2026-08-18,新歌榜,25,Animal,KATSEYE,Animal,2026-07-27,m7k9UMcHbr0,"57,686,926",西洋
2026-08-18,新歌榜,26,STRANGE,刘雨昕,STRANGE,2026-08-05,J88kOcG7hmc,"1,617",西洋
2026-08-18,新歌榜,27,天之外,薛凯琪,Every Piece of Me,2026-08-11,w1pzJ7jJREg,482,華語
2026-08-18,新歌榜,28,回到小村落 (听着蛐蛐唱着歌),宋盐球,回到小村落（听着蛐蛐唱着歌）,2026-07-21,swObZJl0D-Y,"8,084",華語
2026-08-18,新歌榜,29,WET,J.Y. Park,WET,2026-07-23,dMf6YlGsv0U,"2,144,185",韓語
