抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,YouTube ID,點閱率
2026-08-20,抖音熱歌榜,1,明天过后,张杰,听！我们的歌,2020-07-23,ZA0uGRffojo,"1,395,429"
2026-08-20,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,DYptgVvkVLQ,"95,627,440"
2026-08-20,抖音熱歌榜,3,我好想你,苏打绿,秋：故事（苏打绿版）,2024-11-08,P_pyfLArjQg,"78,824,122"
2026-08-20,抖音熱歌榜,4,红尘客栈,周杰伦,十二新作,2012-12-28,L6joGUdc6y4,"45,132,950"
2026-08-20,抖音熱歌榜,5,Always Online,林俊杰,JJ陆,2008-10-18,-gqfAzw6FQo,"8,183,998"
2026-08-20,抖音熱歌榜,6,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,TvSLCxXyrBA,"54,330,802"
2026-08-20,抖音熱歌榜,7,恋人,李荣浩,黑马,2024-10-18,5RlEWndW0bE,"5,291,566"
2026-08-20,抖音熱歌榜,8,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,itjyryJ-8IU,"26,878,219"
2026-08-20,抖音熱歌榜,9,唯一,G.E.M. 邓紫棋,T.I.M.E.,2023-11-26,xXr4Z7HAZCE,"33,042,422"
2026-08-20,抖音熱歌榜,10,雨爱,杨丞琳,雨爱,2010-01-01,oec9R5ypf-o,"39,824,742"
2026-08-20,抖音熱歌榜,11,富士山下,陈奕迅,What's Going On...?,2006-11-23,JDpRnPef5qQ,"30,286,839"
2026-08-20,抖音熱歌榜,12,我怀念的,孙燕姿,逆光,2007-03-22,G7uSHzyVAwg,"42,112,648"
2026-08-20,抖音熱歌榜,13,差一步,大壮,差一步,2017-11-11,lA7-x-TlGjM,"5,892,241"
2026-08-20,抖音熱歌榜,14,下完这场雨,后弦,下完这场雨,2017-01-13,lttm50z2-2s,"3,242,764"
2026-08-20,抖音熱歌榜,15,我在你身后,李飘飘,我在你身后,2020-08-11,fRSVMk8yiFs,"669,872"
2026-08-20,抖音熱歌榜,16,开始懂了,孙燕姿,我要的幸福,2000-12-09,h5eRbbOnPRc,"11,104,005"
2026-08-20,抖音熱歌榜,17,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,ATblV50Odx8,"66,591,979"
2026-08-20,抖音熱歌榜,18,夜曲,周杰伦,十一月的萧邦,2005-11-01,6Q0Pd53mojY,"104,617,086"
2026-08-20,抖音熱歌榜,19,搁浅,周杰伦,七里香,2004-08-03,YJfHuATJYsQ,"82,321,167"
2026-08-20,抖音熱歌榜,20,特别的人,方大同,危险世界,2014-04-11,IscPlLsh6iU,"31,576,584"
2026-08-20,抖音熱歌榜,21,发如雪,周杰伦,十一月的萧邦,2005-11-01,gnz7It0-F4g,"4,383,612"
2026-08-20,抖音熱歌榜,22,那时雨,徐良,那时雨,2013-03-14,7BJ_onc5itA,"197,112"
2026-08-20,抖音熱歌榜,23,美人鱼,林俊杰,第二天堂,2004-06-04,3Nu7C4zU0Vs,"11,867,855"
2026-08-20,抖音熱歌榜,24,演员,薛之谦,绅士,2015-06-05,jQu4cJ00UEo,"23,151,299"
2026-08-20,抖音熱歌榜,25,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,sXP4uMm0teA,"19,205,915"
2026-08-20,抖音熱歌榜,26,素颜,许嵩/何曼婷,素颜,2010-08-18,SwBEmdhqb6M,"4,153,451"
2026-08-20,抖音熱歌榜,27,坏女孩,徐良/小凌,不良少年,2011-12-26,xKfBknbOsz0,"4,415,965"
2026-08-20,抖音熱歌榜,28,出现又离开,梁博,我是唱作人 第2期,2019-04-19,n0Y7J-TzgZE,"8,674,984"
2026-08-20,抖音熱歌榜,29,我们俩,郭顶,微微,2009-08-18,2kc1FDmzLkI,"17,847,685"
2026-08-20,抖音熱歌榜,30,多远都要在一起,G.E.M. 邓紫棋,新的心跳,2015-11-06,D9ksLn6hZ7Q,"70,614,896"
2026-08-20,抖音熱歌榜,31,阴天,莫文蔚,You Can,1999-04-20,tYWufUugeUc,"16,685,587"
2026-08-20,抖音熱歌榜,32,最佳损友,陈奕迅,Life Continues,2006-02-18,0fcKEN4_QoM,"7,662,744"
2026-08-20,抖音熱歌榜,33,小半,陈粒,小梦大半,2016-07-26,Xw8zuUKauxs,"13,211,764"
