抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-21,影視金曲榜,1,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,華語,hgY4ftt3gvk,"45,669"
2026-08-21,影視金曲榜,2,过海,王赫野/黄龄,过海,2026-07-16,華語,IgjnQV8WJH8,"7,973"
2026-08-21,影視金曲榜,3,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,華語,JqR0_IFpdcg,"138,341"
2026-08-21,影視金曲榜,4,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,華語,xBOmrRTzi9M,"12,327"
2026-08-21,影視金曲榜,5,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,C5aQMjIwjAQ,"2,951"
2026-08-21,影視金曲榜,6,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,華語,uEdEBhcf4Gs,"42,062"
2026-08-21,影視金曲榜,7,唯一的例外,阿YueYue,唯一的例外（电影《不想失去你》片尾曲）,2026-08-13,華語,QISWmlKxJiE,"55,995"
2026-08-21,影視金曲榜,8,听无声处,周深,九门 影视原声带,2026-08-10,華語,4Csp1xRwxA8,"91,239"
2026-08-21,影視金曲榜,9,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,0RAqPS4JQyQ,"3,133"
2026-08-21,影視金曲榜,10,来我的岛,刘宇宁,来我的岛,2026-08-03,華語,udTSazfAfEo,"60,393"
2026-08-21,影視金曲榜,11,一诺,刘宇宁,花开锦绣 影视原声带,2026-08-20,華語,JGGL56GMMsM,"113,682"
2026-08-21,影視金曲榜,12,红尘慌慌,周深,百花杀 原声音乐专辑,2026-07-28,華語,h3596Dg4HT8,"276,574"
2026-08-21,影視金曲榜,13,浮生若梦,周深,云秀行 影视原声带,2026-06-23,華語,IJ8kHZZD8O0,"190,984"
2026-08-21,影視金曲榜,14,怜心,黄霄雲,雀骨 影视原声带,2026-07-15,華語,YlnxaMhFSR0,"116,447"
2026-08-21,影視金曲榜,15,少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,jWSWPa4G8ts,"7,615"
2026-08-21,影視金曲榜,16,炙光,张碧晨/侯明昊,雀骨 影视原声带,2026-07-15,華語,83RQld52drA,"216,349"
2026-08-21,影視金曲榜,17,去你的岛,金玟岐,去你的岛,2026-08-09,華語,6xgkCXq7os8,"1,353"
2026-08-21,影視金曲榜,18,别怕再见,房东的猫,我们的少年时代2 影视原声带,2026-08-16,華語,nGRG5TrwvII,"1,183"
2026-08-21,影視金曲榜,19,我在意的,单依纯,爱情有烟火 影视原声带,2026-07-03,華語,GKHSYBHak4U,"47,354"
