抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-21,新歌榜,1,晚风告白,黄星/邱鼎杰,晚风知我意,2026-08-19,華語,UN9JDxv2rmU,"2,386"
2026-08-21,新歌榜,2,BiiiG,BIGBANG,BiiiG,2026-08-19,韓語,L8ZnXgbyUuc,"6,286,757"
2026-08-21,新歌榜,3,谎言,卓沅,谎言,2026-08-19,華語,gCCLu84CwMw,828
2026-08-21,新歌榜,4,禾和何,何浩楠,禾和何,2026-08-19,華語,n2IJN5PmClc,38
2026-08-21,新歌榜,5,山风山风等等我,万海东,山风山风等等我,2026-07-20,華語,dvphcY1G6Ng,"12,074"
2026-08-21,新歌榜,6,云中鸟,小阿七,花开锦绣 影视原声带,2026-08-20,華語,xBOmrRTzi9M,"11,886"
2026-08-21,新歌榜,7,落,刘宇,落 (公子版),2026-08-19,華語,suLx2it-Cl0,"487,470"
2026-08-21,新歌榜,8,想你了,TF_ING邓佳鑫,想你了,2026-08-19,華語,-,-
2026-08-21,新歌榜,9,洞房,张云雷,洞房,2026-08-19,華語,W5fjQCOvuR0,"6,606"
2026-08-21,新歌榜,10,RUN IT,梓渝,梓渝,2026-08-05,華語,ovZ4T3Hv7RQ,"40,543"
2026-08-21,新歌榜,11,Pop Off Pop Off,KiiiKiii,WhyKiiiKiii,2026-08-10,華語,UsbRoaH6y-Q,"5,848,365"
2026-08-21,新歌榜,12,如果还会遇见,何遇Hayu/Crybird,如果还会遇见,2026-07-31,華語,-,-
2026-08-21,新歌榜,13,请在我坠落前到来,TF家族/TF家族-官俊臣/TF家族-王烁然/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-魏子宸/TF家族-李煜东,请在我坠落前到来,2026-08-19,華語,ggVO2Ydibus,297
2026-08-21,新歌榜,14,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"14,049"
2026-08-21,新歌榜,15,天之外,薛凯琪,Every Piece of Me,2026-08-11,華語,w1pzJ7jJREg,803
2026-08-21,新歌榜,16,贰拾肆,梓渝,梓渝,2026-08-05,華語,zeGLBhDbwt0,"54,545"
2026-08-21,新歌榜,17,无情的情书,半吨兄弟,无情的情书,2026-08-15,華語,-,-
2026-08-21,新歌榜,18,不想失去你,毛不易,不想失去你（电影《不想失去你》主题曲）,2026-08-12,華語,hgY4ftt3gvk,"44,265"
2026-08-21,新歌榜,19,Serenade (KARINA & WINTER),aespa,SYNK : aeXIS LINE - 2026 Special Digital Single,2026-08-09,韓語,hGqYdubpcCM,"24,452,239"
2026-08-21,新歌榜,20,静音恋人 (两颗缠绕的心),邹沛沛,静音恋人,2026-08-12,華語,-Hl1gke4U48,"1,383"
2026-08-21,新歌榜,21,MOTION (feat. Juicy J),CORTIS/Juicy J,MOTION (feat. Juicy J),2026-07-31,西洋,h7ITAdTxdxM,"3,734,188"
2026-08-21,新歌榜,22,神山GUOFENG,FOX胡天渝,Oriental Esthetics神降,2026-08-03,華語,tzU-MvVXpoA,121
2026-08-21,新歌榜,23,晚风定义,李沛恩/江衡,晚风知我意,2026-08-19,華語,0fr8VxtmJNY,"1,250"
2026-08-21,新歌榜,24,只为遇见你,刘宇,只为遇见你,2026-08-19,華語,W2anyuTOIYM,159
2026-08-21,新歌榜,25,Crossfire,张艺兴,Crossfire,2026-08-14,西洋,3ZbdF6mRmHY,"1,148"
2026-08-21,新歌榜,26,KISS N TELL,aespa,KISS N TELL,2026-07-23,韓語,inxzQt78lOk,"9,922,536"
2026-08-21,新歌榜,27,汹涌,吴莫愁,这一秒过火 影视原声带,2026-07-18,華語,uEdEBhcf4Gs,"41,452"
2026-08-21,新歌榜,28,爱久见人心,赵乃吉,爱久见人心,2026-08-02,華語,1TJ4DXlfcTc,"15,209"
2026-08-21,新歌榜,29,Can’t give up,La Mer/Ameriie/Andree Son,Feel Chasing,2026-08-05,西洋,-,-
2026-08-21,新歌榜,30,我们总是喜欢在夏天讨论永远,时代少年团,我们总是喜欢在夏天讨论永远,2026-08-10,華語,AH2ibOsKgzs,"85,585"
2026-08-21,新歌榜,31,"nowhere, nobody",Ariana Grande,petal (Explicit),2026-07-31,西洋,k7SDstVAD78,"1,742,279"
2026-08-21,新歌榜,32,等下完这场雨,杨友友/田园,等下完这场雨 (合唱版),2026-08-10,華語,-iv04Ej2qac,33
2026-08-21,新歌榜,33,至少相拥没错,MC 张天赋,至少相拥没错,2026-08-19,華語,NhB88CcMGcM,"53,347"
2026-08-21,新歌榜,34,Setsuna Hanabi,TOMORROW X TOGETHER,Setsuna Hanabi,2026-08-16,日語,Z5pGz8fkaDQ,"711,503"
2026-08-21,新歌榜,35,一路上有你,轻烟大叔,一路上有你,2026-08-17,華語,-,-
2026-08-21,新歌榜,36,Animal,KATSEYE,Animal,2026-07-27,西洋,m7k9UMcHbr0,"60,398,161"
2026-08-21,新歌榜,37,山风山风等等我,吕口口,山风山风等等我,2026-08-06,華語,NCKRAlzlH7M,25
2026-08-21,新歌榜,38,一吻 (Poison Kiss),曾舜晞,一吻 (Poison Kiss),2026-08-15,華語,p-0J0-skPXI,"4,669"
2026-08-21,新歌榜,39,这城市那么空这回忆那么凶,安北辰,这城市那么空这回忆那么凶,2026-08-03,華語,-,-
2026-08-21,新歌榜,40,游向陆地的鱼,梓渝,梓渝,2026-08-05,華語,R-FdIwzlC_s,"52,360"
2026-08-21,新歌榜,41,左转灯 (1000 Times+1),派伟俊/mac ova seas,BAD IDEA,2026-07-31,華語,kUZZIBciO6A,"11,752,347"
2026-08-21,新歌榜,42,杀破狼,萧泽,杀破狼,2026-08-13,華語,Dgq9BadXDhw,"18,327"
2026-08-21,新歌榜,43,其实雨也没多大,弹棉花的小花,其实雨也没多大,2026-07-28,華語,-,-
2026-08-21,新歌榜,44,人一個,陈小春,人一個,2026-08-16,華語,uWFsAAVCnuA,"23,610"
2026-08-21,新歌榜,45,一直在身边,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,0RAqPS4JQyQ,"2,821"
2026-08-21,新歌榜,46,回到小村落 (听着蛐蛐唱着歌),宋盐球,回到小村落（听着蛐蛐唱着歌）,2026-07-21,華語,swObZJl0D-Y,"9,641"
2026-08-21,新歌榜,47,WET,J.Y. Park,WET,2026-07-23,韓語,dMf6YlGsv0U,"2,237,627"
2026-08-21,新歌榜,48,摇曳！摇曳！,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,C5aQMjIwjAQ,"2,775"
2026-08-21,新歌榜,49,我不该动情,吕口口,我不该动情,2026-08-12,華語,B4hRfZy2ZVg,20
2026-08-21,新歌榜,50,水为媒,礼越,水为媒,2026-07-24,華語,6fiETnMALLk,"5,893"
2026-08-21,新歌榜,51,唯我论者的独白,马嘉祺,唯我论者的独白,2026-07-27,華語,1x0vBteO4jc,"41,816"
2026-08-21,新歌榜,52,擦干眼泪爱你,杨友友/烟嗓船长,擦干眼泪爱你 (合唱版),2026-08-10,華語,NiOVOr1m46Q,106
2026-08-21,新歌榜,53,异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,异常加载中,2026-08-02,華語,1265qQnOhfo,"19,295"
2026-08-21,新歌榜,54,Spleen Cow,Waifu Shop/Ameriie/He00c/Grimmmz,You Got It (动感旋律版),2026-08-11,西洋,-,-
2026-08-21,新歌榜,55,如果你也刚好抬头看树,孙天宇,如果你也刚好抬头看树,2026-07-20,華語,9HWZgQTXRW0,"33,660"
2026-08-21,新歌榜,56,也许你就在对岸,张杰,也许你就在对岸,2026-07-30,華語,YPy4E04LErU,"10,997"
2026-08-21,新歌榜,57,ICONIC HEART,Hearts2Hearts,ICONIC HEART,2026-08-09,西洋,chl0R8C4NJ8,"4,683,010"
2026-08-21,新歌榜,58,STRANGE,刘雨昕,STRANGE,2026-08-05,西洋,J88kOcG7hmc,"1,703"
2026-08-21,新歌榜,59,花落花,陈少熙,花落花,2026-07-29,華語,SKP9steiOM4,"3,018"
2026-08-21,新歌榜,60,山风山风等等我,佳佳,山风山风等等我,2026-08-12,華語,iT588U-GsI0,2
2026-08-21,新歌榜,61,Think About It,D.N.A/张艺兴/颜人中/GALI/TEN/李治廷,Think About It,2026-08-07,華語,p-LnAnYPo4I,"21,200"
2026-08-21,新歌榜,62,清风微微,曾舜晞,清风微微,2026-07-24,華語,HCv4EH5plpA,"33,034"
2026-08-21,新歌榜,63,失忆,正在进行石女士,失忆（温柔版）,2026-08-04,華語,yJyDLVR2XrE,959
2026-08-21,新歌榜,64,月像,刘宇,月像·开始奏乐开始舞,2026-08-09,華語,U3vtRkUX6OY,"15,399"
2026-08-21,新歌榜,65,SWEET SOUR,KiiiKiii,WhyKiiiKiii,2026-08-10,西洋,NBIu5QpD3X8,"300,505"
2026-08-21,新歌榜,66,竞速游戏,TOP登陆少年组合,竞速游戏,2026-07-25,華語,H7SSEIodiE4,"26,953"
2026-08-21,新歌榜,67,无名氏,张真源,无名氏,2026-08-04,華語,6lRRgMEqb2g,"48,364"
2026-08-21,新歌榜,68,want more,郭郡BiSang_NX/FROYY-蛙,want more,2026-08-05,其它,-,-
2026-08-21,新歌榜,69,Candy Pink Magic Hole Flip Phone (나 어떡해),KiiiKiii,WhyKiiiKiii,2026-08-10,韓語,R9miRFaYbWo,"1,828,974"
2026-08-21,新歌榜,70,如约,周深,如约,2026-07-26,華語,CU60L5ck_Vo,"211,923"
2026-08-21,新歌榜,71,你我他,en (王翊恩),你我他,2026-07-31,華語,GzkHT-k-Ors,"609,735"
2026-08-21,新歌榜,72,秋叶飞过的天,卢润泽,秋叶飞过的天,2026-08-13,華語,-,-
2026-08-21,新歌榜,73,最完美的存在,刘芯妤Roselyn,最完美的存在,2026-08-07,華語,-4a45QUT-J0,"99,303"
2026-08-21,新歌榜,74,讨厌情歌,张艺兴,斗战胜佛,2026-07-03,華語,Lxw5wGrpcYU,"36,877"
2026-08-21,新歌榜,75,petal,Ariana Grande,petal (Explicit),2026-07-31,西洋,afSgBNwmZrQ,"25,440,785"
2026-08-21,新歌榜,76,电台情歌,轻烟大叔,电台情歌,2026-08-12,華語,-,-
2026-08-21,新歌榜,77,We Never若如初见,La Mer/404Hz,Taki（宿命氛围版）,2026-08-01,華語,-,-
2026-08-21,新歌榜,78,No More Tomorrow,严浩翔,No More Tomorrow,2026-08-03,華語,Ls6y4JbkNa0,"9,570"
2026-08-21,新歌榜,79,热账冷说,927,热账冷说,2026-08-03,華語,-,-
2026-08-21,新歌榜,80,All Soul Peace,Vnriet/DarK Haye,One Thou Calm (Slap House),2026-07-27,西洋,-,-
2026-08-21,新歌榜,81,第57次取消发送,羊羊,第57次取消发送,2026-08-07,華語,yyMuPEZ0-eQ,"10,705"
2026-08-21,新歌榜,82,山风山风等等我,七喜,山风山风等等我,2026-07-31,華語,xPaUYFhp_3w,152
2026-08-21,新歌榜,83,傻鱼,王栎鑫,傻鱼,2026-08-11,華語,H2KEtWOqVJA,"2,019"
2026-08-21,新歌榜,84,Ever2Late!,KiiiKiii,WhyKiiiKiii,2026-08-10,日語,vP6NceIuVkM,"299,525"
2026-08-21,新歌榜,85,Always Been You,VZEUS,Always Been You,2026-08-07,西洋,-,-
2026-08-21,新歌榜,86,为你我受冷风吹,羊羊,为你我受冷风吹,2026-08-05,華語,-,-
2026-08-21,新歌榜,87,吹吹山顶的风,杨小壮,吹吹山顶的风,2026-08-05,華語,relM8XBrdpM,"3,144"
2026-08-21,新歌榜,88,Little Songs(无人知晓的小歌),七元,Little Songs(无人知晓的小歌),2026-08-07,華語,zxwR7ZG4bH4,10
2026-08-21,新歌榜,89,每个人,周深,每个人 (舒楠监制 官方正式版),2026-08-07,華語,hMRKkipmWT0,"88,441"
2026-08-21,新歌榜,90,DON'T STOP,刘耀文,DON'T STOP,2026-08-05,華語,BVRouFkXMY4,"1,365"
2026-08-21,新歌榜,91,中国人会飞,Chalky Wong/揽佬SKAI ISYOURGOD,BALDNESS,2026-08-07,華語,wlF0Rhj5ntY,"11,559"
2026-08-21,新歌榜,92,落选,戴羽彤,落选,2026-08-13,華語,T79CK-TvnRk,"7,392"
2026-08-21,新歌榜,93,少年有种,TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,我们的少年时代2 影视原声带,2026-08-16,華語,jWSWPa4G8ts,"7,320"
2026-08-21,新歌榜,94,爸爸妈妈,乡野低频,爸爸妈妈,2026-08-07,華語,J59-924vcoU,"4,445"
