抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-30,綜藝新歌榜,1,甲乙丙丁 (你我怎么两清),张碧晨/侯明昊,天赐的声音第七季 第11期,2026-08-21,華語,7H1ObJvb7Hc,"854,750"
2026-08-30,綜藝新歌榜,2,哀人i,余文乐/艾热AIR/王以太,披荆斩棘2026  一公,2026-08-22,華語,axxMKKc5GJM,"3,426"
2026-08-30,綜藝新歌榜,3,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,華語,QPcvwly2pVY,"31,445"
2026-08-30,綜藝新歌榜,4,循迹,王铮亮/李佳薇,天赐的声音第七季 第11期,2026-08-21,華語,tQfQ5RONDno,"86,460"
2026-08-30,綜藝新歌榜,5,颜如玉2.0,李大奔BENZO/严浩翔/Rapeter,说唱巅峰对决2026 第9期,2026-08-22,華語,caC5IgU0JLY,"24,098"
2026-08-30,綜藝新歌榜,6,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,華語,zlAjS20q9pE,"1,562,712"
2026-08-30,綜藝新歌榜,7,樱花草,黄子弘凡/姚晓棠,天赐的声音第七季 第11期,2026-08-21,華語,Gms1sdNwoC0,"243,578"
2026-08-30,綜藝新歌榜,8,天后,付辛博/姜潮,天赐的声音第七季 第10期,2026-08-14,華語,eS60B20HFP4,"112,095"
2026-08-30,綜藝新歌榜,9,一半一半,宋亚轩,国乐无双 第12期,2026-08-15,華語,q8NYT7blIAM,"89,855"
2026-08-30,綜藝新歌榜,10,红线,杨丞琳/刘宇,天赐的声音第七季 第11期,2026-08-21,華語,qdfb2yIPI0Y,"35,823"
2026-08-30,綜藝新歌榜,11,给我一个理由忘记,丁当/侯明昊,天赐的声音第七季 第10期,2026-08-14,華語,GAdH8VaNkk4,"399,296"
2026-08-30,綜藝新歌榜,12,指纹,杨坤/高睿,天赐的声音第七季 第10期,2026-08-14,華語,2CihEcH9SfI,"19,323"
2026-08-30,綜藝新歌榜,13,My job (老本行),ICE杨长青/那奇沃夫/张峻豪SHUN,说唱巅峰对决2026 第9期,2026-08-22,華語,adoArsLQNuw,"246,560"
2026-08-30,綜藝新歌榜,14,bad guy,黄霄雲/周震南,天赐的声音第七季 第11期,2026-08-21,西洋,NLGRPVvMwm4,"77,194"
