抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,語言,YouTube ID,點閱率
2026-08-31,抖音熱歌榜,1,葡萄成熟时,陈奕迅,U 87,2005-06-07,華語,NCsVnmmNA3E,"11,156,458"
2026-08-31,抖音熱歌榜,2,晴天,周杰伦,叶惠美,2003-07-31,華語,DYptgVvkVLQ,"95,919,036"
2026-08-31,抖音熱歌榜,3,最好的我,龚芝怡/房祖名,55:38:07,2010-05-14,華語,0zmmHNGHRds,"4,488,681"
2026-08-31,抖音熱歌榜,4,恋人,李荣浩,黑马,2024-10-18,華語,5RlEWndW0bE,"5,430,729"
2026-08-31,抖音熱歌榜,5,我好想你,苏打绿,秋：故事（苏打绿版）,2024-11-08,華語,P_pyfLArjQg,"78,981,729"
2026-08-31,抖音熱歌榜,6,富士山下,陈奕迅,What's Going On...?,2006-11-23,華語,JDpRnPef5qQ,"30,409,171"
2026-08-31,抖音熱歌榜,7,红尘客栈,周杰伦,十二新作,2012-12-28,華語,L6joGUdc6y4,"45,240,482"
2026-08-31,抖音熱歌榜,8,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,華語,TvSLCxXyrBA,"54,468,049"
2026-08-31,抖音熱歌榜,9,明天过后,张杰,听！我们的歌,2020-07-23,華語,ZA0uGRffojo,"1,403,488"
2026-08-31,抖音熱歌榜,10,Always Online,林俊杰,JJ陆,2008-10-18,華語,-gqfAzw6FQo,"8,313,638"
2026-08-31,抖音熱歌榜,11,我怀念的,孙燕姿,逆光,2007-03-22,華語,G7uSHzyVAwg,"42,130,433"
2026-08-31,抖音熱歌榜,12,阴天,莫文蔚,You Can,1999-04-20,華語,tYWufUugeUc,"16,754,591"
2026-08-31,抖音熱歌榜,13,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,華語,itjyryJ-8IU,"27,139,723"
2026-08-31,抖音熱歌榜,14,搁浅,周杰伦,七里香,2004-08-03,華語,YJfHuATJYsQ,"82,579,261"
2026-08-31,抖音熱歌榜,15,美人鱼,林俊杰,第二天堂,2004-06-04,華語,3Nu7C4zU0Vs,"11,885,755"
2026-08-31,抖音熱歌榜,16,第57次取消发送,菲菲公主（陆绮菲）,第57次取消发送,2025-02-10,華語,gHk8MIx6nfY,"17,784,173"
2026-08-31,抖音熱歌榜,17,多远都要在一起,G.E.M. 邓紫棋,新的心跳,2015-11-06,華語,D9ksLn6hZ7Q,"70,832,142"
2026-08-31,抖音熱歌榜,18,唯一,G.E.M. 邓紫棋,T.I.M.E.,2023-11-26,華語,xXr4Z7HAZCE,"33,433,890"
2026-08-31,抖音熱歌榜,19,演员,薛之谦,绅士,2015-06-05,華語,jQu4cJ00UEo,"23,176,415"
2026-08-31,抖音熱歌榜,20,夜曲,周杰伦,十一月的萧邦,2005-11-01,華語,6Q0Pd53mojY,"105,051,721"
2026-08-31,抖音熱歌榜,21,雨爱,杨丞琳,雨爱,2010-01-01,華語,oec9R5ypf-o,"39,964,511"
2026-08-31,抖音熱歌榜,22,小半,陈粒,小梦大半,2016-07-26,華語,Xw8zuUKauxs,"13,493,203"
2026-08-31,抖音熱歌榜,23,回声,那英,回声,2021-04-16,華語,YDYXBWgvIyU,"199,444"
2026-08-31,抖音熱歌榜,24,总有一天你会出现在我身边,棱镜乐队,一次有预谋的初次相遇,2018-10-06,華語,vaC8STyhPc4,"147,587"
2026-08-31,抖音熱歌榜,25,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,華語,ATblV50Odx8,"66,686,410"
2026-08-31,抖音熱歌榜,26,兰亭序,周杰伦,魔杰座,2008-10-15,華語,s5Xl5MXboas,"25,721,477"
2026-08-31,抖音熱歌榜,27,特别的人,方大同,危险世界,2014-04-11,華語,IscPlLsh6iU,"31,851,789"
2026-08-31,抖音熱歌榜,28,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,韓語,sXP4uMm0teA,"19,652,900"
2026-08-31,抖音熱歌榜,29,素颜,许嵩/何曼婷,素颜,2010-08-18,華語,SwBEmdhqb6M,"4,172,172"
2026-08-31,抖音熱歌榜,30,偏爱,张芸京,破天荒,2009-06-03,華語,QDwLjCGdmYM,"18,056,339"
2026-08-31,抖音熱歌榜,31,出现又离开,梁博,我是唱作人 第2期,2019-04-19,華語,n0Y7J-TzgZE,"8,716,580"
2026-08-31,抖音熱歌榜,32,开始懂了,孙燕姿,我要的幸福,2000-12-09,華語,h5eRbbOnPRc,"11,190,473"
2026-08-31,抖音熱歌榜,33,我记得,赵雷,署前街少年,2022-08-29,華語,VBUmDbpY7zM,"7,382,989"
2026-08-31,抖音熱歌榜,34,IF YOU,BIGBANG,MADE SERIES 《D》,2015-07-01,韓語,h9hdorPqukU,"86,802,495"
2026-08-31,抖音熱歌榜,35,那时雨,徐良,那时雨,2013-03-14,華語,7BJ_onc5itA,"203,037"
2026-08-31,抖音熱歌榜,36,最佳损友,陈奕迅,Life Continues,2006-02-18,華語,0fcKEN4_QoM,"7,795,957"
2026-08-31,抖音熱歌榜,37,关键词,林俊杰,和自己对话 From M.E. To Myself,2015-12-25,華語,YFr6p7vB9hc,"62,219,623"
2026-08-31,抖音熱歌榜,38,下完这场雨,后弦,下完这场雨,2017-01-13,華語,lttm50z2-2s,"3,257,218"
2026-08-31,抖音熱歌榜,39,我们俩,郭顶,微微,2009-08-18,華語,2kc1FDmzLkI,"17,914,027"
2026-08-31,抖音熱歌榜,40,江南,林俊杰,第二天堂,2004-06-04,華語,G97_rOdHcnY,"43,479,790"
2026-08-31,抖音熱歌榜,41,我好像在哪见过你,薛之谦,初学者,2016-07-18,華語,4krYbNuNdPo,"7,551,986"
2026-08-31,抖音熱歌榜,42,坏女孩,徐良/小凌,不良少年,2011-12-26,華語,xKfBknbOsz0,"4,418,224"
2026-08-31,抖音熱歌榜,43,来不及爱你,h3R3刘清云,来不及爱你,2023-07-30,華語,CtppsmagVVs,"947,234"
2026-08-31,抖音熱歌榜,44,如愿,王菲,如愿,2021-09-25,華語,6fV2dRqJHvw,"25,355,395"
2026-08-31,抖音熱歌榜,45,瞬,郑润泽,瞬,2023-07-17,華語,yJq54boC5RA,"10,337,531"
2026-08-31,抖音熱歌榜,46,盛夏的果实,莫文蔚,NO.1新曲精选全记录20首,2000-06-01,華語,N2d9vPacdmw,"5,975,243"
2026-08-31,抖音熱歌榜,47,其实,薛之谦,意外,2013-11-11,華語,YT3HI5hyMi4,"7,383,308"
2026-08-31,抖音熱歌榜,48,天外来物,薛之谦,天外来物,2020-12-31,華語,fvkKk5ozyeI,"8,096,190"
2026-08-31,抖音熱歌榜,49,樱花草,Sweety,花言乔语 (精装版),2006-06-23,華語,vYcl7cw8gWo,"12,104,189"
2026-08-31,抖音熱歌榜,50,我们的歌,王力宏,改变自己,2007-07-13,華語,FpPDwP0NWnw,"7,493,141"
