抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-17,影視金曲榜,1,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"199,394"
2026-09-17,影視金曲榜,2,大梦归,周深,大梦归,2026-09-11,000EPEhY2os1I0,華語,Xb8AQoiofOY,"70,766"
2026-09-17,影視金曲榜,3,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,002N9Y7U1dHP4I,華語,pPWj5zpyeG8,"253,613"
2026-09-17,影視金曲榜,4,路过晴朗,汪苏泷,早春晴朗 影视原声带,2026-09-01,001Mu0Lw3X3LnQ,華語,2TUe-RESXeE,"266,508"
2026-09-17,影視金曲榜,5,You Should Know,李长庚,早春晴朗 影视原声带,2026-09-01,004b2lxr21ETld,其它,LbV_j9AgQag,"777,088"
2026-09-17,影視金曲榜,6,一瓯春,周深,一瓯春 电视剧原声带,2026-09-17,004PnFjE3xo6o1,華語,6fO3NvgKhFw,"30,531"
2026-09-17,影視金曲榜,7,说分手的人也会难过,曾沛慈,说分手的人也会难过,2026-09-11,002Uk0gv1jzL0Z,華語,uKop94Ta_cg,"45,579"
2026-09-17,影視金曲榜,8,全世界的雨,周深/Ella陈嘉桦,全世界的雨,2026-07-18,000R5lKk0KJBgG,華語,JqR0_IFpdcg,"272,472"
2026-09-17,影視金曲榜,9,过海,王赫野/黄龄,过海,2026-07-16,003DEzAQ3HSB9l,華語,IgjnQV8WJH8,"75,132"
2026-09-17,影視金曲榜,10,终会再见,刘宇宁,终会再见,2026-09-06,004dvvxf0IdJ74,華語,8kMOH9TJRWo,"55,190"
2026-09-17,影視金曲榜,11,一曲微茫,郁可唯,一曲微茫,2026-09-13,002z3MJG1ogGjx,華語,wpgpEDSCYp4,"29,950"
2026-09-17,影視金曲榜,12,同归人,鹭卓,一瓯春 电视剧原声带,2026-09-17,004dKajb486zGA,華語,Pbd6IMkwhco,"2,385"
2026-09-17,影視金曲榜,13,我们不散,周深,生逢其时 影视原声大碟,2026-09-15,00203KEv0gDIFp,華語,3GrnbLGfCkI,"10,875"
2026-09-17,影視金曲榜,14,深深的我们,刘惜君,深深的我们,2026-09-14,000otLj02Oo3VX,華語,fKMRTcZOBnI,"8,183"
