抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-18,綜藝新歌榜,1,甲乙丙丁 (你我怎么两清),张碧晨/侯明昊,天赐的声音第七季 第11期,2026-08-21,001yKMAF26Wg6A,華語,7H1ObJvb7Hc,"1,955,438"
2026-09-18,綜藝新歌榜,2,读心术,欧阳娜娜/姚晓棠,天赐的声音第七季 第12期,2026-09-04,0020E3rn1tCnnF,華語,Cm2ue6JYauY,"173,742"
2026-09-18,綜藝新歌榜,3,空心,黄霄雲/刘端端,天赐的声音第七季 第6期,2026-07-17,000qBZgr2uL9wX,華語,zlAjS20q9pE,"2,319,877"
2026-09-18,綜藝新歌榜,4,侧脸,黄霄雲/刘端端,天赐的声音第七季 第12期,2026-09-04,004RDaL83R2a1H,華語,2v1YURVY_rA,"240,417"
2026-09-18,綜藝新歌榜,5,花开花落,弹壳,说唱巅峰对决2026 第12期,2026-09-13,00320UaT3dNb1c,華語,_Np4Xu0Fpcg,"38,835"
2026-09-18,綜藝新歌榜,6,Dancing With Your Ghost (与你的幻影共舞),张靓颖/黄子弘凡,天赐的声音第七季 第12期,2026-09-04,0045pmLK2eEr18,西洋,Qlc13FMGKgc,"36,926"
2026-09-18,綜藝新歌榜,7,循迹,王铮亮/李佳薇,天赐的声音第七季 第11期,2026-08-21,001w24Dl03KSqt,華語,tQfQ5RONDno,"193,214"
2026-09-18,綜藝新歌榜,8,Boss Life (狂放人生),弹壳/Mai,说唱巅峰对决2026 第11期,2026-09-05,001FqGGS1c2uX6,華語,p7CQGG-WJ-o,"38,212"
2026-09-18,綜藝新歌榜,9,交个朋友,弹壳/Mai,说唱巅峰对决2026 第7期,2026-08-08,001iqZ091ASR89,華語,Eft1Oa6oEjs,"96,450"
2026-09-18,綜藝新歌榜,10,颜如玉2.0,李大奔BENZO/严浩翔/Rapeter,说唱巅峰对决2026 第9期,2026-08-22,004GCD0Y38yopk,華語,caC5IgU0JLY,"78,759"
2026-09-18,綜藝新歌榜,11,听闻爱情,张信哲/杨丞琳,天赐的声音第七季 第12期,2026-09-04,0045wRvE1pQTUN,華語,sQyN3O8LuWw,"24,251"
2026-09-18,綜藝新歌榜,12,好巧是你,周深,好巧是你 (2026中央广播电视总台七夕晚会主题曲),2026-08-19,0040Tlxh4YNKr3,華語,QPcvwly2pVY,"48,609"
2026-09-18,綜藝新歌榜,13,借过一下,陈小春,国乐无双 第3期,2026-06-06,001nsTl40PmvMo,華語,RTXUDa2f48w,"2,182,171"
2026-09-18,綜藝新歌榜,14,你的眼神,张彬彬/王赫野/管健嘉晨,披荆斩棘2026 二公,2026-09-05,002Vm12y0xGrdl,華語,WdY_Jl0xR1k,"1,442"
