抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-22,新歌榜,1,那页夏天,王俊凯,WJK,2026-07-08,002ungyc33fb7x,華語,PjQP6Wh41Gs,"5,447"
2026-09-22,新歌榜,2,失温拥抱,陈楚生,失温拥抱,2026-09-20,002QVNdj4bwuPa,華語,mOo5RWnGXBg,"4,267"
2026-09-22,新歌榜,3,她,刘宇宁,早春晴朗 影视原声带,2026-09-01,001TBn1W4Wg2QM,華語,7Buj2xUlZo0,"235,401"
2026-09-22,新歌榜,4,世界第一等,卡宾先生,世界第一等,2026-09-05,001Q1PUy1wDrul,華語,yc13F9UOSWE,8
2026-09-22,新歌榜,5,我所知道的修辞手法,张靓颖,过期食品,2026-09-20,000JwCzc071IE3,華語,THEEi6_zmEs,"59,861"
2026-09-22,新歌榜,6,雨终曲,宋雨琦 (YUQI),雨终曲,2026-09-15,001ES52Q3qN0u7,華語,HiOhToLC_W8,"62,188"
2026-09-22,新歌榜,7,过期食品,张靓颖,过期食品,2026-09-20,0042wl6E2X1hlC,華語,bI4tCgunmGM,"39,730"
2026-09-22,新歌榜,8,加码,张靓颖,过期食品,2026-09-20,0012PWbp48caUG,華語,4x9wx-HK34I,"76,223"
2026-09-22,新歌榜,9,就骗我一次,沈佳润Nina,WHY NOT ME?,2026-08-30,002z4ttk1mUUb4,華語,j-u_fceGlUc,"5,179"
2026-09-22,新歌榜,10,hey! hey!,TWS,hey! hey! (Chinese ver.),2026-09-21,000SMXBW1lVLyJ,韓語,EawadPfQmf4,"15,091,165"
2026-09-22,新歌榜,11,思念若是一首诗,万妮达Vinida Weng,思念若是一首诗,2026-09-08,000gRK0i44cAYG,華語,g7NjCbxYQUI,"46,394"
2026-09-22,新歌榜,12,此刻,袁娅维TIA RAY,早春晴朗 影视原声带,2026-09-01,002N9Y7U1dHP4I,華語,pPWj5zpyeG8,"349,441"
2026-09-22,新歌榜,13,你是我等不到的人,正在进行石女士,你是我等不到的人,2026-09-12,0036LEVm3t54Fn,華語,dzMgxDDg_zs,"1,407"
2026-09-22,新歌榜,14,SUN KISS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,003sbk7o3sytRU,西洋,46h0LvDHgIs,"22,297,837"
2026-09-22,新歌榜,15,sorry not sorry,庆怜,sorry not sorry,2026-09-20,000rDHyj1RTaN0,西洋,108SaO8fY9s,"15,292"
2026-09-22,新歌榜,16,失忆,李佳薇,失忆,2026-09-05,004DtEju33F124,華語,x-oZXNIlJu0,"34,585"
2026-09-22,新歌榜,17,Like That,王栎鑫,Like That,2026-09-19,004PWuOH13aXuT,華語,g1j290hKCe0,690
2026-09-22,新歌榜,18,落空 ​,羊羊,落空 ​,2026-09-03,0044rXbs2ZALDz,華語,-,-
2026-09-22,新歌榜,19,Thank You,王嘉尔,Thank You,2026-09-21,003YJSVv3ct9Tu,西洋,-,-
2026-09-22,新歌榜,20,I Love You But I Gotta Let You Go (NINGNING Solo),aespa,SYNK : COMPLaeXITY - 2026 Special Digital Single,2026-09-14,0010bg4l1LWTmv,韓語,If1HVSSs4Ts,"1,217,224"
2026-09-22,新歌榜,21,默契过期,田栩宁,X,2026-09-19,003EbhBy2lMKll,華語,8T5b7bt0OE4,"3,657"
2026-09-22,新歌榜,22,大梦归,周深,大梦归,2026-09-11,000EPEhY2os1I0,華語,Xb8AQoiofOY,"91,917"
2026-09-22,新歌榜,23,笨蛋,汪苏泷/五月天 阿信,笨蛋,2026-09-09,002B0d2H4VRqQs,華語,j5Kk7dzUj6A,"7,060,504"
2026-09-22,新歌榜,24,After Everything,曾沛慈,After Everything,2026-09-15,001YjUip0FFzjk,華語,uub_qJXT3tI,"128,371"
2026-09-22,新歌榜,25,山风山风等等我,半吨兄弟,山风山风等等我,2026-09-15,000xZ9Kn1W9w2Q,華語,Fv2blJj7Z78,383
2026-09-22,新歌榜,26,爱像尘埃石沉大海,Mogoo蘑菇,爱像尘埃石沉大海,2026-09-12,0010wCba0kbF3H,華語,lGfZrfxsfT0,560
2026-09-22,新歌榜,27,慢品人间烟火气,涂一乐,慢品人间烟火气（落日微醺版）,2026-08-28,001vKOMY0YCxQ1,華語,-756XAeKtik,"5,499"
2026-09-22,新歌榜,28,态度 (Attitude),田栩宁,X,2026-09-19,004g9tuY2FaQPj,其它,tu78CoHezRM,"14,571"
2026-09-22,新歌榜,29,漫游,田栩宁,X,2026-09-19,0016Cya814ffnP,華語,xYhOvLFoyjM,"2,470"
2026-09-22,新歌榜,30,我不难过,en (王翊恩),我不难过,2026-09-03,0038DoVG1Lg3kE,華語,WuS9D82hSV4,"185,429"
2026-09-22,新歌榜,31,我脑海中的泡沫展厅,蒋敦豪,我脑海中的泡沫展厅,2026-09-07,000macDA0ozKLj,華語,Gqa5XlBY68g,959
2026-09-22,新歌榜,32,new trick,ROSÉ,new trick,2026-09-17,000UmBCZ29YOYt,西洋,Lufa9QAFFeY,"41,502,485"
2026-09-22,新歌榜,33,爱的意义,余佳运,爱的意义,2026-09-14,001C6xm81qQPv1,華語,NMNM2JSRSKs,"21,045"
2026-09-22,新歌榜,34,我做了个梦,李佳薇,我做了个梦,2026-09-16,000ujwWg0s3dYd,華語,rjIf6DerygM,"202,573"
2026-09-22,新歌榜,35,麻花情,海来阿木,麻花情,2026-09-12,0020yDRe0LHeFm,華語,BRJK56Y16ac,"20,813"
2026-09-22,新歌榜,36,冰箱没有鸡蛋,马嘉祺,心室,2026-09-07,003rucaJ1vkeYx,華語,XU-c7XSFJFw,"25,939"
2026-09-22,新歌榜,37,再一次见面,周深,再一次见面,2026-09-06,0021HGmn1wHoOJ,華語,ezy0WMuqWwo,"119,813"
2026-09-22,新歌榜,38,删了一百遍,A-Lin,删了一百遍,2026-09-01,000Q8gRW2WkkDS,華語,HzpDg83IElA,"343,910"
2026-09-22,新歌榜,39,没有你是漫长雨季,梓渝,梓渝,2026-08-05,000eMXbM0hmJmi,華語,upblmi2XwGs,"23,629"
2026-09-22,新歌榜,40,短发女孩,Zzh/白允y,短发女孩(她留短发淡的妆),2026-08-25,00057rq01GG3ga,華語,eOVqtsMANDs,"33,752"
2026-09-22,新歌榜,41,甲乙丙丁,李佳薇,甲乙丙丁 (粤语版),2026-09-03,000KrmLU1imE68,華語,YhiQDARUJ7Y,"9,418,798"
2026-09-22,新歌榜,42,遗憾,陈婉菁,遗憾（如果回到那从前）,2026-08-28,0019fL9V24AaNc,華語,cYRaDGmGlmg,332
2026-09-22,新歌榜,43,听见,易烊千玺,听见 (“听见中国听见你”主题曲),2026-09-17,000Rg4420ycP5V,華語,BHrPfJN66Ik,176
2026-09-22,新歌榜,44,MONEYMONEYMONEY,CORTIS,GREENGREEN_playextended,2026-08-23,003ufBbJ3ifsBX,西洋,OhdvNHmJDsw,"7,567,648"
2026-09-22,新歌榜,45,互删 (我走以后),江辰,互删 (我走以后),2026-08-29,000c6NsT1go9hy,華語,dq-FAOsQKGg,"29,853"
2026-09-22,新歌榜,46,时间漫步,梓渝,梓渝,2026-08-05,002GPTYm2w6qQD,華語,8iqJ7dGVW50,"12,545"
2026-09-22,新歌榜,47,未完路线,田栩宁,X,2026-09-19,000TOyOU2IqsWi,華語,lmSo0qS2UQ4,"3,806"
2026-09-22,新歌榜,48,说文解字,灯叔/方大树,说文解字,2026-08-29,000bCM2f3nhooK,華語,45OKCZb0Zlk,"30,407"
2026-09-22,新歌榜,49,Live My Life (我行我路),HEARTSTEEL (心之钢)/英雄联盟/伯贤/Connor Price/Anderson .Paak/Nic D,Live My Life (我行我路),2026-09-18,003XWUgq1XgbAM,西洋,gMkuV5hh7-s,"3,670,465"
2026-09-22,新歌榜,50,出卖,轻烟大叔,出卖,2026-08-26,004Ofutg3vcTaQ,華語,jRwreNzElKo,"1,239"
2026-09-22,新歌榜,51,世界如此,田栩宁,X,2026-09-19,004c8lwy1OB6qe,華語,z843vmVrfmQ,"10,465"
2026-09-22,新歌榜,52,可惜春风不懂我伤悲,吕口口,可惜春风不懂我伤悲,2026-08-27,001Tue0M1YYaXQ,華語,-,-
2026-09-22,新歌榜,53,GET EVEN,The Kid LAROI/GIVĒON,GET EVEN,2026-09-18,004VL7Wj4HgaG9,西洋,gK60WnmnyoA,"759,531"
2026-09-22,新歌榜,54,侧脸,黄霄雲,侧脸,2026-09-10,001JiBb24YOwZW,華語,2v1YURVY_rA,"267,172"
2026-09-22,新歌榜,55,最佳损友,en (王翊恩),最佳损友,2026-09-19,002czxRF4AZFt1,華語,3V0nvfQwoe4,"12,301"
2026-09-22,新歌榜,56,我们之间到底算什么呢（Bigger than us）,蒲熠星,我们之间到底算什么呢（Bigger than us）,2026-09-19,003nPEAq0wKVrb,華語,Umg66MbNvVI,"4,002"
2026-09-22,新歌榜,57,Moonride,Hearts2Hearts,Moonride,2026-09-09,001qW0XY1BqDiE,其它,gNUMxMuxH20,"3,209,006"
2026-09-22,新歌榜,58,礼拜四,HENDERY (黄冠亨),礼拜四,2026-09-17,001yreba3kfYUt,韓語,JZ770mBUquE,"10,007"
2026-09-22,新歌榜,59,思念放过哪个人,孟小笛,思念放过哪个人,2026-09-15,000kBu1H1Ut0D1,華語,AJuBtSAMU80,311
2026-09-22,新歌榜,60,GRLS,TUIDE,The 1st EP [TUNE & PLAY],2026-08-24,000yC8KR2ukwGc,西洋,pHciG9_2xXM,"9,925,217"
2026-09-22,新歌榜,61,昨天，今天,莫文蔚,昨天，今天,2026-08-25,003G4D6x1e8J8k,華語,Z92SE7ZSTRg,"43,459"
2026-09-22,新歌榜,62,森林狂想曲,黛青塔娜,森林狂想曲,2026-08-24,001Qijjt0i0Olj,華語,P8GXIbRl-Qw,270
2026-09-22,新歌榜,63,情网,半吨兄弟,情网（烟嗓版）,2026-08-25,0034VCpK3DewWn,華語,7BtnY-VDMD0,"3,485"
2026-09-22,新歌榜,64,一棵树的回答,关婷,一棵树的回答,2026-08-24,004e97bu04fK5g,華語,-,-
2026-09-22,新歌榜,65,哎呀 爱呀,罗昕妤,哎呀 爱呀,2026-09-01,000jeB2C2BzUrh,華語,-,-
2026-09-22,新歌榜,66,阳光普照,容祖儿,阳光普照,2026-09-21,001VAIYk4V5WEo,華語,U0xVirXb9v4,"45,434"
2026-09-22,新歌榜,67,琵琶曲,刘宇,琵琶曲,2026-09-11,001RRw591wNZHp,其它,Gvq8NL8NuDA,"21,447"
2026-09-22,新歌榜,68,难却 (戏幕开戏幕落),浅影阿,难却 (浅影版),2026-07-03,003HsDmo2XROI5,華語,ZDVvKA0gkBc,"20,161"
2026-09-22,新歌榜,69,16 Bit (KARINA Solo),aespa,SYNK : COMPLaeXITY - 2026 Special Digital Single,2026-09-14,000OhJpT0qSFXW,韓語,MD36f_hPXHc,"1,108,222"
2026-09-22,新歌榜,70,I'm not your lover（虚假恋人）,赵希予,I'm not your lover（虚假恋人）,2026-09-15,001rAcnG3HBRqF,華語,-,-
2026-09-22,新歌榜,71,单身情歌,赵乃吉,单身情歌,2026-09-13,002MTvBj3hvyEF,華語,EOFV5EBMGOo,333
2026-09-22,新歌榜,72,此间是少年,梓渝,梓渝,2026-08-05,003YH7VB1zA0hP,華語,0_ld2Btgweo,"6,338"
2026-09-22,新歌榜,73,深爱过的人怎么放手,吕口口,深爱过的人怎么放手,2026-08-28,004bGl9k272CWY,華語,-,-
2026-09-22,新歌榜,74,Dear You,宇宙人,Dear You,2026-09-10,004TNq6r33qD4P,華語,EDqib7BNE-M,"1,034,945"
2026-09-22,新歌榜,75,一曲微茫,郁可唯,一曲微茫,2026-09-13,002z3MJG1ogGjx,華語,wpgpEDSCYp4,"66,864"
2026-09-22,新歌榜,76,同归人,鹭卓,一瓯春 电视剧原声带,2026-09-17,004dKajb486zGA,華語,Pbd6IMkwhco,"4,503"
2026-09-22,新歌榜,77,PACK IT UP,CORTIS,GREENGREEN_playextended,2026-08-23,004AUYvn4SK3Xy,西洋,Eg4-vCHc7eQ,"2,072,597"
2026-09-22,新歌榜,78,在他乡,橘子妹,在他乡,2026-09-09,000awyTE0HgKUe,華語,-,-
2026-09-22,新歌榜,79,再见太难,Joysaaaa,再见太难,2026-08-26,004FXedG06u5yr,華語,FjbmLEwVfn4,"220,584"
2026-09-22,新歌榜,80,Saddle Up (WINTER Solo),aespa,SYNK : COMPLaeXITY - 2026 Special Digital Single,2026-09-14,001o8tFg35JbFV,韓語,qCOvn2GVn6g,"966,202"
