抓取日期,榜單類型,排名,歌名,歌手,專輯,發行日期,songmid,語言,YouTube ID,點閱率
2026-09-24,抖音熱歌榜,1,晴天,周杰伦,叶惠美,2003-07-31,0039MnYb0qxYhV,華語,DYptgVvkVLQ,"96,566,075"
2026-09-24,抖音熱歌榜,2,素颜,许嵩/何曼婷,素颜,2010-08-18,004Gq0xE1YC8xp,華語,SwBEmdhqb6M,"4,215,561"
2026-09-24,抖音熱歌榜,3,情歌,梁静茹,静茹 & 情歌 别再为他流泪,2009-01-16,0010BrWk2SucQr,華語,itjyryJ-8IU,"27,691,714"
2026-09-24,抖音熱歌榜,4,恋人,李荣浩,黑马,2024-10-18,001auUcH4WQs2V,華語,5RlEWndW0bE,"5,732,144"
2026-09-24,抖音熱歌榜,5,春娇与志明,街道办GDC/欧阳耀莹,春娇与志明,2017-06-25,004Uln1G2Aunqw,華語,TvSLCxXyrBA,"54,788,502"
2026-09-24,抖音熱歌榜,6,夜曲,周杰伦,十一月的萧邦,2005-11-01,001zMQr71F1Qo8,華語,6Q0Pd53mojY,"105,992,229"
2026-09-24,抖音熱歌榜,7,开始懂了,孙燕姿,我要的幸福,2000-12-09,003PSWcB4EDl6P,華語,h5eRbbOnPRc,"11,394,273"
2026-09-24,抖音熱歌榜,8,Always Online,林俊杰,JJ陆,2008-10-18,001N8e5Q4Gjxda,華語,-gqfAzw6FQo,"8,582,630"
2026-09-24,抖音熱歌榜,9,我怀念的,孙燕姿,逆光,2007-03-22,000BO3xy4fd8BJ,華語,G7uSHzyVAwg,"42,173,134"
2026-09-24,抖音熱歌榜,10,我记得,赵雷,署前街少年,2022-08-29,002dw4gv1ZmiGt,華語,VBUmDbpY7zM,"7,526,890"
2026-09-24,抖音熱歌榜,11,搁浅,周杰伦,七里香,2004-08-03,001Bbywq2gicae,華語,YJfHuATJYsQ,"83,150,679"
2026-09-24,抖音熱歌榜,12,枫,周杰伦,十一月的萧邦,2005-11-01,003KtYhg4frNXC,華語,qzwsQTY-99o,"84,589,455"
2026-09-24,抖音熱歌榜,13,九月底,余佳运,九月底,2018-11-20,0007wGEd2R755D,華語,NEU50gpaw-E,"4,517,404"
2026-09-24,抖音熱歌榜,14,雨爱,杨丞琳,雨爱,2010-01-01,000rh0dE2TyUic,華語,oec9R5ypf-o,"40,433,147"
2026-09-24,抖音熱歌榜,15,幻听,许嵩,梦游计,2012-07-11,003MUDkf30pS5B,華語,IdI4JOqlvVU,"3,803,624"
2026-09-24,抖音熱歌榜,16,阴天,莫文蔚,You Can,1999-04-20,0031PqYN0sj8K3,華語,tYWufUugeUc,"16,899,281"
2026-09-24,抖音熱歌榜,17,富士山下,陈奕迅,What's Going On...?,2006-11-23,003aAPj81VWrbL,華語,JDpRnPef5qQ,"30,684,978"
2026-09-24,抖音熱歌榜,18,有何不可,许嵩,自定义,2009-01-10,002mZevo3wHvsc,華語,_2f-7oQIS8M,"6,348,132"
2026-09-24,抖音熱歌榜,19,红色高跟鞋,蔡健雅,若你碰到他,2009-08-19,003IGhQO0JdnuC,華語,ATblV50Odx8,"66,891,655"
2026-09-24,抖音熱歌榜,20,唯一,G.E.M.邓紫棋,T.I.M.E.,2023-11-26,001NgljR0RUhy1,華語,xXr4Z7HAZCE,"34,164,031"
2026-09-24,抖音熱歌榜,21,红尘客栈,周杰伦,十二新作,2012-12-28,003xv4w313tZHV,華語,L6joGUdc6y4,"45,494,813"
2026-09-24,抖音熱歌榜,22,特别的人,方大同,危险世界,2014-04-11,003cSLOO35W3yP,華語,IscPlLsh6iU,"32,488,086"
2026-09-24,抖音熱歌榜,23,演员,薛之谦,绅士,2015-06-05,001Qu4I30eVFYb,華語,jQu4cJ00UEo,"23,233,898"
2026-09-24,抖音熱歌榜,24,多余的解释,许嵩,自定义,2009-01-10,0049M1133ILTOr,華語,corinn9Dr14,"1,030,570"
2026-09-24,抖音熱歌榜,25,关键词,林俊杰,和自己对话 From M.E. To Myself,2015-12-25,001OeHvA0NASwT,華語,YFr6p7vB9hc,"62,295,624"
2026-09-24,抖音熱歌榜,26,最佳损友,陈奕迅,Life Continues,2006-02-18,003hFxQh276Cv5,華語,0fcKEN4_QoM,"8,099,312"
2026-09-24,抖音熱歌榜,27,遇见,孙燕姿,The Moment,2003-08-22,001xJbdb2MBaaz,華語,zgmnU8BxE2c,"22,008,504"
2026-09-24,抖音熱歌榜,28,小半,陈粒,小梦大半,2016-07-26,001hs89m3C5p3g,華語,Xw8zuUKauxs,"14,076,360"
2026-09-24,抖音熱歌榜,29,偏爱,张芸京,破天荒,2009-06-03,003Ho2cO2RXwUc,華語,QDwLjCGdmYM,"18,141,140"
2026-09-24,抖音熱歌榜,30,多远都要在一起,G.E.M.邓紫棋,新的心跳,2015-11-06,003S1hgM2asCye,華語,D9ksLn6hZ7Q,"71,289,496"
2026-09-24,抖音熱歌榜,31,出现又离开,梁博,我是唱作人 第2期,2019-04-19,004DiVWg09UKQx,華語,n0Y7J-TzgZE,"8,807,742"
2026-09-24,抖音熱歌榜,32,ANGEL,尹美莱/Tiger JK/Bizzy,Angel,2014-12-08,004PjZLu3CjaYS,韓語,sXP4uMm0teA,"20,533,176"
2026-09-24,抖音熱歌榜,33,如愿,王菲,如愿,2021-09-25,001ufyHx10iWpg,華語,6fV2dRqJHvw,"25,747,080"
2026-09-24,抖音熱歌榜,34,下完这场雨,后弦,下完这场雨,2017-01-13,002FsceO4WxKyF,華語,lttm50z2-2s,"3,289,071"
2026-09-24,抖音熱歌榜,35,盛夏的果实,莫文蔚,NO.1新曲精选全记录20首,2000-06-01,0009BoCc0C2KFN,華語,N2d9vPacdmw,"6,044,239"
2026-09-24,抖音熱歌榜,36,失控,井迪,失控,2020-11-20,003N2hzR4511Hh,華語,0swKZBxTNEQ,"17,012,079"
2026-09-24,抖音熱歌榜,37,我们俩,郭顶,微微,2009-08-18,003MASv802hpJ7,華語,2kc1FDmzLkI,"18,069,820"
2026-09-24,抖音熱歌榜,38,美人鱼,林俊杰,第二天堂,2004-06-04,002ASCKm3ROw7t,華語,3Nu7C4zU0Vs,"11,929,429"
2026-09-24,抖音熱歌榜,39,坏女孩,徐良/小凌,不良少年,2011-12-26,0001oIjs0YFIf7,華語,xKfBknbOsz0,"4,423,644"
2026-09-24,抖音熱歌榜,40,一直很安静,阿桑,仙剑奇侠传 电视剧原声带,2005-01-21,0029eQ0Z1Cxptl,華語,XQgXzPFZbzA,"6,425,896"
2026-09-24,抖音熱歌榜,41,江南,林俊杰,第二天堂,2004-06-04,004TXEXY2G2c7C,華語,G97_rOdHcnY,"43,793,772"
2026-09-24,抖音熱歌榜,42,瞬,郑润泽,瞬,2023-07-17,0040SY053uSb7r,華語,yJq54boC5RA,"10,733,004"
2026-09-24,抖音熱歌榜,43,十年,陈奕迅,黑白灰,2003-04-15,001OyHbk2MSIi4,華語,tjr3SrCg3pc,"13,801,268"
2026-09-24,抖音熱歌榜,44,落了白,蒋雪儿Snow.J,落了白,2020-11-30,0044Qzv02BfUt3,華語,QnhAfbaTi9Q,"1,012,272"
2026-09-24,抖音熱歌榜,45,如果当时,许嵩,自定义,2009-01-10,003uh6Y81FI4Nv,華語,2QlJO8u1mcc,"2,400,305"
2026-09-24,抖音熱歌榜,46,鼓楼,赵雷,无法长大,2016-12-21,001JWMPW4aZyhR,華語,BtehApnbzow,"897,280"
2026-09-24,抖音熱歌榜,47,IF YOU,BIGBANG,MADE SERIES 《D》,2015-07-01,000GDzSZ0yAEB9,韓語,h9hdorPqukU,"88,929,451"
2026-09-24,抖音熱歌榜,48,其实,薛之谦,意外,2013-11-11,003ouHMP12glVD,華語,YT3HI5hyMi4,"7,679,430"
2026-09-24,抖音熱歌榜,49,黄昏,周传雄,Transfer,2000-12-25,000Sw6cm1GHNRw,華語,6ca_YHZvzls,"76,768,035"
2026-09-24,抖音熱歌榜,50,葡萄成熟时,陈奕迅,U 87,2005-06-07,0029Zemv0kR1ur,華語,NCsVnmmNA3E,"11,398,997"
2026-09-24,抖音熱歌榜,51,天外来物,薛之谦,天外来物,2020-12-31,0013WPvt4fQH2b,華語,fvkKk5ozyeI,"8,357,439"
2026-09-24,抖音熱歌榜,52,夏夜最后的烟火,颜人中,夏夜最后的烟火,2024-01-01,004YVhTx4b1rFK,華語,SVdZy0uZBUg,"13,433,221"
2026-09-24,抖音熱歌榜,53,不遗憾,李荣浩,你的婚礼 电影原声带,2021-05-08,0049nkGI4Qxu2m,華語,u5ZsoP8FZUQ,"25,976,477"
2026-09-24,抖音熱歌榜,54,来不及爱你,h3R3刘清云,来不及爱你,2023-07-30,000cyrHv2XUunX,華語,CtppsmagVVs,"1,054,814"
2026-09-24,抖音熱歌榜,55,刻在我心底的名字,卢广仲,刻在我心底的名字,2020-08-25,001YneOf1NGnlH,華語,m78lJuzftcc,"81,727,490"
2026-09-24,抖音熱歌榜,56,那时雨,徐良,那时雨,2013-03-14,0013aGOv4ZNeXI,華語,7BJ_onc5itA,"216,815"
2026-09-24,抖音熱歌榜,57,此生不换,青鸟飞鱼,仙剑奇侠传三 电视剧原声带,2009-06-18,003hj8yv0e6SW8,華語,yz80TCsFDaA,"1,792,048"
