video_id,yt_title,baseline_views,baseline_date,歌名,歌手,Initial Views,Initial Date
MmUGUAQ9S1I,任夏 - 我不該動情『我發了瘋的愛你 又拼了命的忘記，早知會痛 我就不該動情，我奉上全部真心 沒有回頭的餘地，卻換來你不要我的結局。』【動態歌詞MV】,151178.0,2026-08-11,-,-,-,-
p5yNs2EzG-U,Surprise (惊喜) (Live),21362.0,2026-08-11,-,-,-,-
_AitteIOuMc,【影視劇ost】那英 | 纏《這一秒過火》主題片尾曲 Overdo OST #張凌赫 #王楚然 #lyrics #這一秒過火,77657.0,2026-08-11,-,-,-,-
eIvW_YLOz5I,aespa 에스파 ‘Serenade (KARINA & WINTER)' Live Clipㅣ2026 aespa LIVE TOUR SYNK : aeXIS LINE DOME TOUR,360550.0,2026-08-11,-,-,-,-
Ys7-6_t7OEQ,Justin Bieber - Beauty And A Beat (Official Music Video) ft. Nicki Minaj,1341134625.0,2026-08-11,-,-,-,-
itjyryJ-8IU,情歌,26697019.0,2026-08-11,-,-,-,-
U3vtRkUX6OY,月像,1912.0,2026-08-11,-,-,-,-
H3UUiVIx6bI,【影視劇ost】張紫寧 | 夢圓《千香》網劇乘風曲 The Eternal Fragrance OST #宋威龍 #鞠婧祎 #lyrics,7611.0,2026-08-11,-,-,-,-
vFzq2TaeLkU,R.E.D《Metal Flower》  (《功夫女足(Kung Fu Soccer)》电影插曲),12576.0,2026-08-11,-,-,-,-
6kIK31bCeWQ,羊羊 - 可笑『可笑你忘了的 我全部都記得，你說過的承諾 一個個在嘲笑我。』【高音質|動態歌詞】♫,142530.0,2026-08-11,-,-,-,-
h7_NvOHhr5U,【影視劇ost】弦子 | 不倒翁《想你了》電影出逃曲 Miss You Already Chinese Remake OST #章若楠 #金靖 #lyrics #想你了,476.0,2026-08-11,-,-,-,-
N2d9vPacdmw,莫文蔚 Karen Mok【盛夏的果實】Official Music Video,5932486.0,2026-08-11,-,-,-,-
oec9R5ypf-o,楊丞琳 Rainie Yang - 雨愛,39735007.0,2026-08-11,-,-,-,-
