歌名,歌手,Video ID,語言
无名氏,张真源,6lRRgMEqb2g,華語
No More Tomorrow,严浩翔,Ls6y4JbkNa0,西洋
过海,王赫野/黄龄,IgjnQV8WJH8,華語
全世界的雨,周深/Ella陈嘉桦,JqR0_IFpdcg,華語
唯我论者的独白,马嘉祺,1x0vBteO4jc,華語
吹吹山顶的风,巴扎黑,phbCk43iEiw,華語
讨厌情歌,张艺兴,Lxw5wGrpcYU,華語
只是片刻,冯建宇/赵志刚,DB6iUTn1dKs,華語
周旋,王以太/艾热AIR,6WPWpadfJfI,華語
汹涌,吴莫愁,uEdEBhcf4Gs,華語
江湖再见,刘芊螢,-,華語
山风山风等等我,万海东,dvphcY1G6Ng,華語
也许你就在对岸,张杰,YPy4E04LErU,華語
MOTION (feat. Juicy J),CORTIS/Juicy J,h7ITAdTxdxM,西洋
petal,Ariana Grande,afSgBNwmZrQ,西洋
失重色,世勋,s_dLEabS-mw,華語
Hope,王力宏,pZCxXaiW_lQ,華語
KISS N TELL,aespa,inxzQt78lOk,韓語
媚人,薛之谦,cxm8b1gOeqk,華語
你我怎么两清(甲乙丙丁),半糖记,-,華語
都有这一天,老中青民谣/小巷先生,LPrQsoQmC9M,華語
我曾,菜园子不CAi,gUDdbjBZvC8,華語
踏马寻花向自由,半吨兄弟,-bVRxta_96I,華語
异常加载中,TF家族/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-陈思罕/TF家族-陈浚铭,1265qQnOhfo,華語
"nowhere, nobody",Ariana Grande,k7SDstVAD78,西洋
别在伤口撒盐,赵家豪,au4L9mvaPvA,華語
你我他,en (王翊恩),GzkHT-k-Ors,華語
WET,J.Y. Park,dMf6YlGsv0U,西洋
放弃的界限,张敬轩,qkgeZe4R2Bw,華語
黄昏(纵然青丝如霜),正在进行石女士,GEBcOg08m0k,華語
灵魂相愿,张敬轩,1gV5Ij8e4rg,華語
Animal,KATSEYE,m7k9UMcHbr0,西洋
别回头 别停留 往前走,苏子墨,-,華語
kiss me,Ariana Grande,RJHxDOD66mk,西洋
红颜旧,周深深,F3eLllpbK80,華語
Pretty Much（半夏心动）,赵希予,-,華語
别哭 我最爱的人,周深深,5hpCLQhHOWI,華語
清明上河图（同花顺进行曲）,周深深,1fIrDx4jQCQ,華語
多疑的恋人,王赫野,HQLV_zq-MZk,華語
春,黄龄,mXmZjmP4FEM,華語
风与花的约定,半吨兄弟,L6GOfO7jH0w,華語
我难过,毒药,-,華語
竞速游戏,TOP登陆少年组合,H7SSEIodiE4,華語
光阴的故事,轻烟大叔,IjUGvBR-PIU,華語
如约,周深,CU60L5ck_Vo,華語
我只要我开心,时代少年团,ISN_veOMtpM,華語
No Boundaries,周深/北京环球度假区,f5vn-DcImgg,華語
Badi Badi,王俊凯,Ta9HWjNTJ8c,華語
如果你也刚好抬头看树,孙天宇,9HWZgQTXRW0,華語
北京的雨,张艺兴,XsW6KbnYDYg,華語
踏马寻花向自由,轻烟大叔,-,華語
窝囊废,刘凤瑶/曾一鸣/张玮/李琦/派克特,47ZjO-K_3V4,華語
左转灯 (1000 Times+1),派伟俊/mac ova seas,kUZZIBciO6A,華語
红尘慌慌,周深,h3596Dg4HT8,華語
奔赴超无限,周深/北京环球度假区,YvmmyNWSd0g,華語
oh well,Ariana Grande,_lKbPBS5HEQ,西洋
山风不语,伍零五,-,華語
来我的岛,刘宇宁,udTSazfAfEo,華語
是我做了白日梦,姜添/听潮阁,KymF_2hV21o,華語
雨一直下,晚月moon,VcAuNBRmEEA,華語
后来没有后来,承桓/顾叮当,-,華語
香烟与吻痕 (我在月光下许过情真),黄龄,-t1495nGo-Q,華語
踏马寻花向自由(就别管那么多),徐剑秋,-,華語
听无声处,周深,4Csp1xRwxA8,華語
张三的歌,曲肖冰/凤璃,-,華語
Pretty Girl,RESCENE (리센느),qZlu2j2SiBA,韓語
值得(我们的故事爱就爱到值得),王佳音,oA6ngto3iXY,華語
游京,苏子墨/sunnd,-,華語
这场雨下完就忘了你,戎大姨,PXXcAoi_VQg,華語
若不是因为你,赵乃吉,SlkBzcxx_Ws,華語
Less than a Lover,JENNIE,_IT83Y_HcAw,西洋
stay,Ariana Grande,0J6tGMnBLlM,西洋
耀眼的我们,周深,prjFbOzBVWU,華語
hate that i made you love me,Ariana Grande,82-jTNka3uc,西洋
Bad Boy,万妮达Vinida Weng,D_K6igkrxM4,華語
SODA SODA,TWS,d1rWv8VeQO0,韓語
回到小村落 (听着蛐蛐唱着歌),宋盐球,swObZJl0D-Y,華語
花落花,陈少熙,SKP9steiOM4,華語
全世界陪我出发,TF家族/TF家族-官俊臣/TF家族-张桂源/TF家族-张函瑞/TF家族-王橹杰/TF家族-王烁然/TF家族-左奇函/TF家族-陈奕恒/TF家族-杨博文/TF家族-杨涵博/TF家族-张奕然/TF家族-聂玮辰/TF家族-陈思罕/TF家族-魏子宸/TF家族-李煜东/TF家族-陈浚铭,h9Z8DtJeKLo,華語
不如(Edit),何欢浪,5CPLya4fyHg,華語
Glue,希林娜依高,_p-Qh8TjqCI,西洋
You,Appleby,LYANS5AwwnA,西洋
总有人间一两风,周深深,S0x-B-MV27g,華語
Reay killi,еяхат музыка/SENVER/404Hz,-,其它
一直下雨的星期天,印子月,-,華語
Surfin' Boy,Red Velvet,NZP153MUpHY,韓語
夏日底片（不可战胜的夏天）,逵逵爱唱歌（KuiKui）/还是可以,oZoUYsCYBF4,華語
不要,橘子妹,FV-IDU5hmho,華語
我在等一个人,郑鱼,-,華語
听说你当初找过我,吕口口,-,華語
Sunburst,RIIZE,jAI0LeyASwI,韓語
哥伦布,白,8lXZjPuanW0,華語
破晓,王俊凯,636TwjVWx5Q,華語
岛屿,棱镜乐队,Q9-v8FDKx84,華語
缠,那英,_AitteIOuMc,華語
不甘,弦子,jPUfB7SYYmM,華語
一个人而已,正在进行石女士,6s6G5KjsPUg,華語
梦哑,云汐,JucVZ39qDjM,華語
说了再见,弦子,7wqNuafSKog,華語
想得美,TOP登陆少年组合,6C2myvSkK80,華語
贴心,梁咏琪,dSX7D6XBGKY,華語
Metal Flower,R.E.D,vFzq2TaeLkU,西洋
人间,刘宇宁,awyc5u7s_hg,華語
满纸,阿鲲,dqqehb_gEz0,華語
如果宇宙有答案,黄子弘凡,4kXZl6yf4-I,華語
Stay With Me,DK,5cglnHp1mmo,韓語
浮生若梦,周深,IJ8kHZZD8O0,華語
千香,周深,o9ulZsWpFwE,華語
何故,刘宇宁,n5yL35f1IKI,華語
"I Knew It, I Knew You",Taylor Swift,hDU4GB1PTxc,西洋
炙光,张碧晨/侯明昊,83RQld52drA,華語
我在意的,单依纯,GKHSYBHak4U,華語
破晓以后,胡彦斌,U_2HmXsOqgs,華語
怜心,黄霄雲,YlnxaMhFSR0,華語
一诺成川,侯明昊,L_BElNLdnEE,華語
Blind Spot,토모/원식 (WONSIK),ETiDRVhexco,韓語
All For You,Eric周兴哲,osyH9yWWygA,華語
赤子,周深,wOpAuisJFVg,華語
想你了,刘瑞琦,XFGYYNz7gbw,華語
知我,刘雨昕,awKxszb6PL4,華語
蚱蜢跃入星空,王源,41MkOkGmSQY,華語
不倒翁,弦子,h7_NvOHhr5U,華語
渡,周深,T_6vMCU50t0,華語
别忘了,岑宁儿,ZpmbCnbVaOY,華語
倒悬之河,徐均朔/阿YueYue,xNVtmoES0WQ,華語
因果,段奥娟,rQYrp9dzCOA,華語
执棋,张靓颖,yj98tMDi6Xw,華語
Marionette,제나 (ZENA),MBVvRUJGyxU,韓語
时差,Jeffrey董又霖,SI2SPivo8bA,華語
未烬之火,沙宝亮,-A41w3MHS-4,華語
Tiger in my love,奥利,vhIfGl5Hr0U,西洋
袖里长风,张远,Up45ZAjL8_A,華語
做自己的英雄,邓典,3bgjq4KHKug,華語
烟波,小时姑娘,b9qqFutiJ48,華語
见幸福,郁可唯,-Xps4sA6joA,華語
Close to Me,ANTON,UTCHf9Dz2TY,西洋
心世界,周深,EW-UO70eVL8,華語
漫过无尽岁月,张新成,mSyU8k_hRDY,華語
人间聚散,房东的猫,GEEXrDHsveU,華語
夜鷹 - Yodaka,米津玄師,83dumZPbq-o,日語
孤光,张新成,aN4OnHZchmQ,華語
满天星,翟潇闻,cDWeQI-xplM,華語
花影,希林娜依高,4bvtmJf3kgM,華語
耀眼,刘宇宁,pmiR74HbSjI,華語
Behind The Shine,RIIZE,3sKKVJ_jfAs,韓語
照心,段奥娟,-bzOKKOzEFs,華語
吻合,袁娅维TIA RAY/张远,6ZI8JD54-dY,華語
风与花,何与,_Sjd3NVh1og,華語
人生自定义,那英,IeZjH-TRqbY,華語
自由的夏天,梁咏琪,4jfnIoNvv1Y,華語
上岸,任然,uon3hUO0eI8,華語
飞翔的一天,吴宣仪,s1T0UAgb49Q,華語
成全,井胧,h6rcI296mSI,華語
等雨停下,袁娅维TIA RAY,kBQ3Vs05XOI,華語
有你,刘宇宁,kj11GU_h7IQ,華語
Beyond the Dream,DINO,xGVynrYFsHE,韓語
寸断,张远,NGsMs7MGjUs,華語
我爱的女孩,章若楠/金靖,B9cIUhIKQQo,華語
兵自风中来,欧豪,8_mMG39oXs0,華語
一程人间,翟子路/马思超,bCpdn-tqdjk,華語
吹向花开,希林娜依高,gcSdKIvM0bA,華語
生来精彩,RIIANA,BHh_1r91ZPs,華語
你只是你,谭维维,wiA0u-YQG7Q,華語
一百颗星星,关晓彤/李昀锐,GbHiF2op4rQ,華語
上场,雪野XUEYE,Xdwzj-lVuDg,華語
练习,打扰一下乐团,7-gMQPuq690,華語
나란한 밤,서영주 of 너드커넥션,REFB9MM1e-Q,韓語
Brand New,Mrs. GREEN APPLE,dePs7UPp6GQ,日語
幽光,刘宇宁,USo-_-WCrCM,華語
再叙,王晰,aPjXEc6ziHc,華語
西西弗斯,王安宇/夏日入侵企画,V45HrscjNbY,華語
평행선,변우석,3wjCZxNPtXE,韓語
年少,康子奇,zvhe1uzuqeU,華語
方寸之间,白鹿/丞磊,mykryGzMQ70,華語
星昼,周深,7MeGFo03ukA,華語
I Promise,姚琛,x1faHHujvCY,西洋
Already Free,ALEPH,_tr0Q042nVo,西洋
梦圆,张紫宁,H3UUiVIx6bI,華語
一路荣光,黄霄雲,Oa7bcygFWUY,華語
孤剑吟,周深,jQkuH-5Au28,華語
问流光,阿YueYue,dujujkbPEPg,華語
爱情没有神话,张靓颖,qRgm1_5Wvl0,華語
Y and I,刘美麟/赵磊,iUkNpyTdRUM,華語
从忘记你那天起,衣诺,2n-xedHZvrI,華語
光荣的勋章,白举纲,2VpfdNdA5P4,華語
First And Last,어바웃,5sXP0cGpLyY,韓語
我真的好想你,张紫宁,_3_hFDp8uf8,華語
南楼残樱,秦剑,QKtb-WqRQgw,華語
迷心,亚森,2x4qaX4ZJvo,華語
抱紧紧,陈佩贤 Jesslyn,CEqJ4E-hvbc,華語
추억이란 이름 (Sailing Back To You),Jeebanoff,XWm35wuGqvY,韓語
터널,丽兹 (LIZ),8QuIlXWdRos,韓語
冲,吉克隽逸,KS4oKYAktXc,華語
旧年,刘宇宁,vBTC8F3onuM,華語
冲线,卢文韬,-,華語
空心,黄霄雲/刘端端,zlAjS20q9pE,華語
野心家,杨丞琳/黄霄雲,MJZc-Dg5WeQ,華語
我不难过,刘雨昕/欧阳娜娜,y_sILJY8wus,華語
言不由衷,黄子弘凡/Rapeter,EEHVG_c4kgo,華語
月光与吻痕,杨宗纬/欢子/喻言,N5COHYSS51o,華語
第一次做人,张远,nq6RG6-A-Xs,華語
别错过,杨宗纬/姚晓棠,Tc23na0-Wlw,華語
爱的主打歌,刘宇,GRwfm2WL83M,華語
问爱,Yamy郭颖,8tqVS2VpzEI,華語
小半,王铮亮/谭松韵,AJSvQ8HOzGY,華語
春,王铮亮/黄龄/陈文非,DRYPvbRFmXk,華語
Talk like me (像我这样说),弹壳,l-V4WOvSAfk,華語
讨厌,杨丞琳/欧阳娜娜,gw5ED3eAv5k,華語
迷人的危险,Ghost (王琳凯)/姚晓棠,K5t-1v-IZ9k,華語
街角的晚风,曾舜晞/姚晓棠,bLvvnIB9MCY,華語
到此为止,尤长靖,59zO4rIqcno,華語
爱人错过,王菀之,E52qnW59iEE,華語
爱错,王铮亮/黄子弘凡,7Oo9x9gGUNQ,華語
改变,窦靖童,WXpbugS_RRY,華語
心引力,周笔畅/田嘉瑞,zfKyiLmtZeA,華語
借过一下,陈小春,RTXUDa2f48w,華語
Dats Me (通通是我),Top Barry,m6jb1G1arYE,華語
半壶纱,郁可唯/金晨,vYS19ebfuAE,華語
雪崩,魏如萱,PY9BsbHcMXg,華語
歌曲：立春,周慧敏/刘敏涛/梁咏琪/秦海璐/薛凯琪/张钧甯/姜妍/热依扎/刘惜君/希林娜依高,vQaa1t2ZbNE,華語
锁,张靓颖/曾舜晞,jTPeg10b3KI,華語
失眠,杨丞琳/en (王翊恩),yM3jz8xVEqo,華語
巴拉莱卡 (The Rod),张靓颖/陈楚生,U-ZSLPlaGhA,華語
不同凡想,万妮达Vinida Weng,AwvjyyC2_f4,華語
小人物,辉子,RzpdmPIhcdc,華語
嘿陈会计,Rapeter,F5cdOTuaUmM,華語
是你没选我啊,欢子/黄霄雲,2vpDf4zVuCI,華語
